rank	username	minecraft:crafted/minecraft:red_terracotta
1	thewindmillman	15952
2	Spacewardharpy7	7040
3	Frozil20	3648
4	Weepingbiel	3048
5	TheSecondLord	2688
6	Swexti	2648
7	YungMaki	2272
8	joethahobo	1920
9	rarrq	1464
10	Blazebit	1216
11	noam464	1172
12	Onennon	872
13	PlasticOtari	864
14	Huwulling	764
15	Lord_Jord	624
16	XboxPanda	608
17	Kowcio_	600
18	PazinGaming	512
19	Blackberry1310	488
20	Quincannon	472
21	AdmiralSmoke	466
22	lordpipe	448
23	Merv__	432
24	TheShyPig	384
24	EveryonesUncle	384
26	pintsizedrogue	380
27	QuiCreans	360
28	Snowflowe	320
28	SSytex_X	320
28	Steelynan	320
28	Ezekson	320
32	Dakar_	312
33	Hermanni__	272
34	Lez_	256
35	Sral7	220
36	Mattesco	192
36	Legendosh	192
38	Soplight	182
39	ZoomieZoomie	176
40	NNikitas	148
41	lillips	144
42	NameGenerat0r	136
43	Nicserso	131
44	ProbablyNick	128
44	Notta	128
46	ProfessorBee	112
47	Apollo_993	108
48	nocturne78	104
48	Fullut	104
50	ImpavidArcher	96
50	SyntheticSurgeon	96
52	luseis	92
53	pixelviolin	87
54	Awyrlas	80
55	SaintJosie	72
56	500am	64
56	Marbz_	64
56	oscminus	64
56	epiksk8erduck	64
56	XxCookiequeenxX	64
56	wobn	64
56	claivin	64
56	mihimihimihi	64
56	MovingFish7	64
56	SvenskaHugo	64
56	skrongus	64
67	gcaisawesome	60
68	Jimb0nat0r	56
68	00000000-0000-0000-0009-01ff0c3e5e4f	56
70	Di_infiri	48
71	xXTheWolfmanXx	40
71	Blu3beast	40
71	yatsuta	40
74	2Stout	32
75	HellsSponge	28
76	Prismyst	24
76	J4k__	24
76	Akoot_	24
76	EcksD	24
76	Quotary	24
81	ConnorDanky_	20
82	Ao_Ken	16
82	beeperbeeper5	16
82	himak1	16
82	ApophisNova	16
82	MyNamaSheff	16
87	EMC_	12
87	Smashic	12
87	_Bguette_	12
87	wwwwinnebagoooo	12
91	Rumpletaezer	9
92	Mr_Byzantine	8
92	KarlKaek	8
92	SaucyDark	8
92	Hpdinosaur	8
92	Ryker	8
92	Mahoose	8
92	ratglock	8
92	excelsionprime	8
92	thescout7	8
92	Inbefour	8
92	duqboy	8
92	DemTechAlpha	8
92	StinkyDiplomat	8
92	fluddd	8
92	ItsDeltaMC	8
92	TheEnderMan548	8
92	jcool7	8
92	xolstoi	8
110	Comma__	7
111	JESS_THE_RERE	1
111	EngagedGrub41	1
