rank	username	minecraft:crafted/minecraft:barrel
1	Zythose	1189
2	500am	1082
3	EveryonesUncle	1013
4	Inchef	820
5	OtariCharlie	747
6	EfficientC52	585
7	beeperbeeper5	584
8	teslawolf38	520
9	pintsizedrogue	513
10	Merv__	491
11	Blaiku	433
12	valkam13	368
13	thewindmillman	366
14	Smoke____	360
15	rarrq	325
16	ImpavidArcher	312
17	TheShyPig	309
18	Mahoose	307
19	EMC_	302
20	RodSerlingCringe	298
21	oxfordschool	260
22	ApophisNova	236
22	MyNamaSheff	236
24	m_be9	225
24	Onennon	225
26	sebastiensaborio	219
27	Soplight	211
28	Snowflowe	207
29	Spacewardharpy7	196
30	lordpipe	193
31	Historical_Sand	182
32	Inbefour	178
33	TheSecondLord	177
33	Hermanni__	177
35	jacxhadow	175
36	PigDab	156
36	Lord_Jord	156
36	DemTechAlpha	156
39	eitanzaki	148
39	xxPipperDipperxx	148
41	T045RTY	144
42	Eraxa	142
43	SvenskaHugo	141
44	lillips	139
45	EcksDofficial	138
46	Racengan	134
47	Ezekson	133
48	kekhon	132
49	SlayerCrypto	130
50	Blackberry1310	121
51	Enderslayerxz3	117
52	_Dean_123	116
52	Werbe	116
52	bpmm	116
52	AssEatrAndLicker	116
56	PhantomsGhost_	98
57	12Magner05	96
58	Legendosh	92
59	MangoTheFish	91
60	ehunt54	90
61	h2p_emrld	87
62	Xclax101	86
63	Fullut	85
64	NomadicRobin_	84
64	KingMatthew506	84
66	Sleek_Storm_721	82
66	joethahobo	82
66	stahouo	82
69	noam464	81
70	Darkgon	80
71	KarlKaek	77
71	Flores991	77
73	Dedalus36	73
74	Sky_light_KING	72
75	r123moore	71
76	bloodbiter	68
77	SammiWolfGirl	66
77	Sheldor097	66
79	fkGrim	63
80	Kowcio_	62
81	yulgur1	61
81	_Bguette_	61
83	Airem_Core	59
83	stellarjay	59
85	sp00ky_ghost977	56
85	Nicserso	56
87	ShedJr_	54
88	Arceus1975	53
88	07shiny	53
90	diamondgolem35	52
91	NameGenerat0r	51
91	Freak_Genius	51
93	fr0stss	50
93	Awyrlas	50
95	nut_e	48
96	Karetoko	44
96	XxCookiequeenxX	44
96	DarkS0L	44
99	SDMNAEK	42
99	PortlyPete69	42
101	El_Jalapeno	41
101	CalebDHawk	41
101	YoshikageBites	41
104	soundad	40
104	Cryptacity	40
106	Rumpletaezer	39
106	Meatlaugh	39
108	Bumpy419	38
109	Lukeee33	37
109	2Stout	37
109	MyNameIsJobo	37
109	Groundler	37
113	John6970	36
113	Skippeh	36
115	Di_infiri	35
115	Akoot_	35
117	q_wq	34
117	SaucyDark	34
117	Stiar	34
117	Bazongoman	34
117	Windo_licker	34
117	Chromary	34
123	Jackster03	33
123	Skylord_Luke	33
123	HyperCave	33
126	surfinggiraffejp	32
126	tobinwilliams	32
126	YungMaki	32
129	Cowison	31
129	Notta	31
129	RyuNeko932000	31
129	BronkerBrum	31
129	Maenara	31
129	wezzzi	31
135	livingdaydreams	30
135	Base_Tempest	30
135	SokaOtaku	30
135	KeruNatsema	30
135	MyNameIsDakar	30
135	HellsSponge	30
135	Factoroni	30
135	mawileite	30
135	kinas45y5	30
135	JohnPrice	30
145	Swexti	29
145	NotTrixi	29
145	ogoa	29
145	Slapface522	29
145	Kubeusz2010	29
150	TooManyDuck	28
150	heckface	28
150	jnp_gaming	28
153	Drlzyy	27
153	CoffeeNoir	27
155	ProbablyNick	26
155	Prodiginus	26
155	SuperPooch06	26
155	Quotary	26
159	6king6colt6	25
159	titanlax	25
159	Deathkob	25
162	_stets	24
162	ROY4LE	24
162	fluddd	24
162	MineMaster0012	24
166	the_russell1611	23
166	the__Reaper4999	23
168	Tolhart	22
169	Z3braYTIL	21
169	Zaridey	21
169	Winklepicker279	21
169	Parcc	21
169	Syropatathe	21
169	lcvezra	21
169	ItsJunoIGuess	21
176	Bandito_Roamer	20
176	The_slideV3	20
176	diggydog67	20
179	_Virify_	19
179	Tommhh	19
179	Natty	19
179	BlueZabu	19
179	Blu3beast	19
184	RatatJuice	18
184	Kakolbus	18
184	Jiminie	18
184	_Karmaa	18
184	TechnoNinja64	18
189	TheBiggestFeller	17
189	Myszoaz	17
189	oreee	17
189	shyshyannne	17
189	PegLegPete93	17
189	Gamergirl420628	17
189	loveseeker	17
189	Hyp3rion_	17
189	Hoid_the_Roamer	17
189	FishyBoy3811	17
189	_TCARREIRA_	17
200	Groovy_MoonBird	16
200	Kamflame10	16
200	GLLogan2	16
200	set67	16
200	Bobby808	16
200	_naturell	16
200	Eczbek	16
200	MissCeleste7	16
200	anbbang	16
200	AltnumberF4	16
210	Ardennes	15
210	Cortexia	15
210	Ze_BaronKrigler	15
210	ediballbearings	15
214	Mr_Byzantine	14
215	rats_life	13
215	CueMix	13
215	wrinkledpiglet	13
215	Barlycorn	13
215	SSytex_X	13
220	hollowww	12
220	rachcl	12
220	hm947	12
220	_Razar	12
220	Vizzoid	12
220	RobotMinion101	12
220	Truckoss	12
220	ese_wn_po	12
220	rotten_mango	12
220	Nycteus_	12
220	silverpopcorn	12
220	__tomato	12
220	xorompole	12
233	Covalents	11
233	ItsAki_	11
233	felincaus	11
233	Zoeyfortnite	11
237	lewieinnit	10
237	Ozixar	10
237	ratglock	10
237	YungJakobo	10
237	StanceTB	10
237	redikul	10
237	orxngejuice	10
237	ewpunk	10
237	Freedrik	10
246	Jovaphobic	9
246	Ssor69	9
246	paranoid_plant	9
246	mwrty	9
246	gcaisawesome	9
246	iTurbo	9
246	MightyWertu	9
246	cichy096	9
254	youhjjhhhjj	8
254	awesomeoneme	8
254	ThePoliteG	8
254	MrExplorer	8
254	slkiey	8
254	HypixelForums	8
254	_Boipl_	8
254	audiocracked	8
254	Hisiste	8
254	AvaRosey	8
254	brofrickcheaters	8
254	UltraZombie	8
254	Sral7	8
254	WYFYoyo	8
268	EllaBellaChu	7
268	BilboBaggins23	7
268	thescout7	7
268	Xalithia	7
268	_8man	7
268	Muffindrake	7
268	ADEXTV	7
268	TheSeismicDuck	7
268	MangoSalad316	7
268	BlankityMcBlank	7
268	Oxygen16	7
279	_NieToksikpl_	6
279	dabloons	6
279	ColeSnyder	6
279	Incinere	6
279	MSK__	6
279	IWorkAtIkea	6
279	ccormacs	6
279	TheFlfthHorseman	6
279	Rich_Kat	6
279	Lumien_	6
279	UncreativeArtist	6
279	IforgotCS_Source	6
279	Avrelion	6
279	Purplehere	6
279	Toiton	6
279	CheifJumbo	6
279	LetsDoItLive	6
279	SexcMf	6
279	CACTUSLAD	6
279	fffMike	6
279	KASAN420	6
