rank	username	minecraft:crafted/minecraft:written_book
1	beeperbeeper5	2995
2	Lez_	746
3	SteveCraftBlocks	568
4	pintsizedrogue	498
5	Awyrlas	337
6	Legendosh	264
7	Kowcio_	151
8	lordpipe	129
9	Smoke____	128
10	I_Am_Mushkin	98
11	Frxnkz	95
12	luseis	94
13	Akoot_	83
14	Esme_1	82
15	Lord_Jord	80
16	claivin	76
17	Hermanni__	66
18	TheShyPig	63
19	SammiWolfGirl	62
20	Xclax101	61
21	Huwulling	60
22	Soplight	58
23	Bumpy419	54
24	joethahobo	53
25	500am	52
26	Merv__	46
27	FirsTimeGamingTV	45
28	Hyp3rion_	44
29	hagridfedpik	41
30	WyngGoy	33
31	Arceus1975	29
32	Spacewardharpy7	25
33	Smashic	23
33	fluddd	23
33	Powowowow	23
36	12Magner05	22
37	bloodbiter	19
38	Eraxa	18
39	Mahoose	17
39	HellsSponge	17
41	TheSecondLord	16
41	_Dean_123	16
41	ConnorDanky_	16
44	EMC_	15
45	EveryonesUncle	14
46	Werbe	13
47	_Boipl_	12
47	Winston_Ingram	12
49	kekhon	11
49	UrbanPlanningEx	11
51	thewindmillman	10
51	MAns_44	10
51	FreakGenius	10
51	Steelynan	10
55	Fullut	9
55	r123moore	9
57	ImNotYuqii	8
57	Swexti	8
57	Racengan	8
60	Karetoko	7
61	Hisiste	6
61	YungMaki	6
61	Ezekson	6
64	Blaiku	5
64	lcvezra	5
66	chipklip	4
66	binman420	4
68	SmashingPump	3
68	Incinere	3
68	ShedJr_	3
68	jacxhadow	3
68	noam464	3
68	Groundler	3
74	eitanzaki	2
74	T045RTY	2
74	Blackberry1310	2
74	jushykins	2
74	2Stout	2
74	StinkyDiplomat	2
74	Eczbek	2
81	Jovaphobic	1
81	Frozil20	1
81	Ssor69	1
81	lorpus	1
81	Inchef	1
81	corpsecity	1
81	Rasmanden	1
81	Tyrannosplart	1
81	RoofTyler	1
81	SvenskaHugo	1
81	Jimb0nat0r	1
81	PlasticOtari	1
