rank	username	minecraft:crafted/minecraft:glass_bottle
1	noam464	23513
2	HellsSponge	23102
3	Di_infiri	19690
4	pintsizedrogue	16230
5	PhantomsGhost_	11247
6	RoskobiOne	10225
7	MightyWertu	9541
8	Eczbox	9516
8	Eczbek	9516
10	EMC_	6790
11	sp00ky_ghost977	6725
12	philandr	6606
13	Hyp3rion_	5667
14	Yamdalorian	5454
15	Lez_	5364
16	thewindmillman	5235
17	Kakolbus	4947
18	SammiWolfGirl	4422
19	Manaateee	4389
20	crashomon	3921
21	TheWickedBird	3156
22	wezzzi	3087
23	Fullut	2439
24	eitanzaki	2077
25	pixelviolin	2070
26	LeauVox4921	1767
27	pretty_pink_reno	1726
28	jnp_gaming	1701
29	500am	1677
30	SnowyAvi	1494
31	xxPipperDipperxx	1282
32	ProfessorBee	1218
33	Felenov	1173
34	Prismyst	1170
35	Blaiku	1158
36	EveryonesUncle	1068
37	TechnoNinja64	1050
38	Jackattack53	987
39	Inbefour	978
40	Inchef	969
41	NomadicRobin_	960
42	Hoid_the_Roamer	882
43	kekhon	870
44	TheSecondLord	867
45	Racengan	864
46	r123moore	840
47	Alteriity	837
48	PortlyPete69	834
49	SvenskaHugo	831
50	PlasticOtari	804
51	Winston_Ingram	786
52	q_wq	780
53	joethahobo	750
54	FreakGenius	738
55	taengoos	723
56	oscminus	708
57	mariominejedi	702
58	EngagedGrub41	696
59	Mahoose	687
60	ImpavidArcher	675
61	titanlax	621
62	prizm_	612
62	Zoeyfortnite	612
64	ConnorDanky_	579
65	hanaryheatwave	576
66	SingedBread	552
67	diamondgolem35	528
68	bloodbiter	516
69	AlphaWolfPlaysMC	489
70	Frozil20	483
71	Blackberry1310	477
72	Mr_Byzantine	444
73	ougstur	432
74	Nicserso	429
75	YungMaki	417
76	T045RTY	411
76	Werbe	411
78	Lord_Jord	387
79	luseis	384
80	FiguraDei	378
81	GooseWithin	348
82	33sudo	336
83	Snowflowe	330
83	07shiny	330
85	Hisiste	324
86	F_Uhre	321
87	audiocracked	318
88	Spacewardharpy7	312
89	Blu3beast	303
90	M_Patata	300
90	MasterNueve	300
92	AstreaTSS	288
93	Groovy_MoonBird	276
93	StinkyDiplomat	276
95	Skippeh	273
96	RebytreGT	271
97	Auseawesome	270
98	masskedman	267
99	KomputerDude	261
100	Apollo_993	255
100	6king6colt6	255
100	Juansinmiedo18	255
103	Tyrannosplart	252
104	jushykins	243
