rank	username	minecraft:crafted/minecraft:sponge
1	BumbleBeever	4567
2	Enderxz3	4142
3	Bumpy419	3747
4	Snowflowe	2628
5	Spacewardharpy7	2570
6	eviltunix	2163
7	Blu3beast	1895
8	Drawgirl	1803
9	diamondgolem35	1774
10	MightyWertu	1733
11	YungMaki	1732
12	Kakolbus	1603
13	EngagedGrub41	1524
14	EcksD	1246
15	Maenara	1213
16	joethahobo	1210
17	Barlycorn	1209
18	lizardfightclub	1185
19	xDraggin	981
20	Smoke____	962
21	himak1	896
22	PhantomsGhost_	835
23	Comma__	756
24	ImpavidArcher	749
25	Ezekson	737
26	EMC_	659
27	AuroraValkyrie	605
28	PigDab	579
29	Hermanni__	569
30	500am	548
31	HellsSponge	534
32	Paintz	524
33	QueenShuvi	520
34	MAns_44	499
35	Rebytre	481
36	Groundler	473
37	Rumpletaezer	445
38	Smashic	433
38	Jackattack53	433
40	Hyp3rion_	432
41	Lez_	424
42	MilleGrug	398
43	SammiWolfGirl	366
44	mihimihimihi	362
45	Skippeh	359
46	Fullut	345
47	NameGenerat0r	344
48	pintsizedrogue	334
49	diggydog67	311
50	Marbz_	304
51	The11thDoctor	286
52	Iagoku	256
53	TheShyPig	254
54	vandmanden	233
55	Fuad_R	228
56	Di_infiri	210
57	claivin	209
58	Flapjacker687	190
58	M_Patata	190
58	MasterNueve	190
61	gcaisawesome	187
62	RoofTyler	178
62	djancak	178
64	1442	175
65	NinjaKnifeKill	172
65	Zaridey	172
65	Inbefour	172
65	PortlyPete69	172
69	Onennon	168
70	Deodorante	152
71	ApophisNova	150
71	MyNamaSheff	150
73	yatsuta	139
74	Nicky_H225	133
75	Lord_Jord	125
76	Jovaphobic	117
77	IamCL4SSY	114
77	NomadicRobin_	114
79	_Boipl_	108
80	The_slideV3	106
81	TheSecondLord	104
82	__tomato	101
83	Frozil20	98
83	Legendosh	98
85	12Magner05	97
86	sandmire	88
87	Mattesco	79
88	TheDankPlatypus	78
88	CollinMH06	78
90	tsitrawhy	73
91	Blackberry1310	69
92	Inchef	67
93	non089	65
93	Powowowow	65
95	jcool7	60
96	Cryptacity	58
97	mwrty	57
97	TechnoNinja64	57
99	F_Uhre	55
100	NatalieTW	52
100	Malorn_Aetherius	52
100	Kynigito	52
103	ssleepless	51
103	DarlaMeow	51
103	_Karmaa	51
106	MinttyFressh	49
107	2Stout	47
108	beeperbeeper5	41
108	_TCARREIRA_	41
110	Skylord_Luke	40
111	Arceus1975	38
112	_Frepp_	37
113	bigstankyy	36
113	SuperPooch06	36
115	SmashingPump	34
116	Awyrlas	33
116	Winklepicker279	33
118	xxPipperDipperxx	32
119	livingdaydreams	31
119	SkinnyBois	31
121	WET_WET_WET	30
122	Huwulling	29
122	Eraxa	29
122	Kijiki	29
125	eitanzaki	25
125	robotemo	25
127	XboxPanda	24
128	6king6colt6	23
128	jnp_gaming	23
130	emrekn	21
130	fkGrim	21
132	Alteriity	20
133	DarkDescent2392	19
134	MrKrabOnCoke	17
134	lordpipe	17
136	noam464	16
137	Shogunite	14
138	Historical_Sand	12
138	Rocco_Lane	12
138	Akoot_	12
138	Racengan	12
142	Steelynan	11
143	Russiancat1	9
143	Factoroni	9
143	Njensen7	9
146	iTurbo	8
146	Hiryu27	8
148	binman420	7
149	_Virify_	6
149	Presisor	6
151	MattieHD	4
151	thewindmillman	4
151	Dusk_95	4
154	hm947	3
154	oreee	3
154	FelixPSY375	3
157	LittleBug562	2
157	Xclax101	2
157	Warlord324	2
157	monky_irl	2
157	LordSpeed37	2
162	Scathra	1
162	JitteryJared2	1
162	theofiel	1
162	wezzzi	1
162	sp00ky_ghost977	1
162	obzii	1
162	BreadBacon	1
162	JayToe	1
