rank	username	minecraft:crafted/minecraft:oak_chest_boat
1	Enderxz3	3
2	Fuad_R	2
2	iSammael	2
4	Mahoose	1
4	Marbz_	1
4	luseis	1
4	mihimihimihi	1
4	Ezekson	1
4	00000000-0000-0000-0009-01f9013b764e	1
