rank	username	minecraft:crafted/minecraft:popped_chorus_fruit
1	lordpipe	5920
2	Smoke____	5464
3	PigDab	3600
4	LexMakesHistory	1146
5	TheShyPig	1042
6	xxPipperDipperxx	739
7	6king6colt6	641
8	BlancoFlaco	608
9	MakeHistory157	581
10	sp00ky_ghost977	576
11	Jiminie	516
12	SellyZ	317
13	titanlax	258
14	surfinggiraffejp	256
15	beeperbeeper5	238
16	Blackberry1310	203
17	ZaneABrain	192
18	claivin	173
19	Hpdinosaur	144
20	RoboTramp7865	128
21	kekhon	120
22	PhantomsGhost_	117
23	Jackattack53	113
24	bigstankyy	104
25	2blox	75
25	Zoeyfortnite	75
27	TheEnderman548	68
28	_naturell	64
28	Fuhrer_Teemo	64
30	ooga47	56
30	pixelviolin	56
32	Razzgriz	43
33	Dusk_95	39
34	Ecplosive	29
34	fluddd	29
36	MyNameIsJobo	25
37	Nagasaki_Riku	24
38	chipklip	18
39	Incinere	16
39	RobotMinion101	16
39	XxCookiequeenxX	16
39	oxfordschool	16
43	mawileite	15
44	djancak	14
45	platinumzero	13
46	NameGenerat0r	12
47	jimintyy	9
47	Arceus1975	9
49	Ailmast	8
49	Zaridey	8
49	ClemenPine	8
52	Winston_Ingram	7
53	noam464	6
54	thewindmillman	5
54	Gryglu583	5
54	Legendosh	5
57	pintsizedrogue	4
58	yulgur1	3
59	burbankbuilder28	2
59	NomadicRobin_	2
59	Kubeusz2010	2
62	Sleek_Storm_721	1
62	Fullut	1
62	Awyrlas	1
62	Zythose	1
62	brofrickcheaters	1
