rank	username	minecraft:crafted/minecraft:mossy_cobblestone_slab
1	luseis	452
2	EMC_	120
3	pintsizedrogue	116
4	EveryonesUncle	114
5	SaltineDream	84
6	fkGrim	72
7	MyNameIsJobo	60
8	500am	48
9	surfinggiraffejp	42
9	thewindmillman	42
9	MyNameIsDakar	42
12	Tommhh	36
12	Rebytre	36
14	Eraxa	30
14	diggydog67	30
16	Frozil20	24
16	Powowowow	24
18	_Huge_Male_	18
18	_Tilariel_	18
20	groofles	16
20	Enderxz3	16
22	BlancoFlaco	12
22	M_Patata	12
22	Marbz_	12
22	Elastiq	12
22	HellsSponge	12
22	MasterNueve	12
22	layabout100	12
22	Sral7	12
22	Smoke____	12
31	Cryptacity	6
31	PegLegPete93	6
31	SuperPooch06	6
31	RobotMinion101	6
31	PuFY	6
31	Tyrannosplart	6
31	CheifJumbo	6
31	Razzgriz	6
31	Kowcio_	6
31	Rainaldus	6
41	beeperbeeper5	2
41	PlasticOtari	2
