rank	username	minecraft:crafted/minecraft:iron_bars
1	Blaiku	83008
2	beeperbeeper5	28137
3	Hyp3rion_	12848
4	EcksD	12387
5	joethahobo	10766
6	eitanzaki	7018
7	TheSecondLord	5504
8	Alteriity	5248
9	AlexxO_o	5232
10	Eczbek	4608
11	TheShyPig	4352
12	PlasticOtari	4256
13	Spacewardharpy7	4208
14	luseis	3792
15	Hermanni__	3440
16	StinkyDiplomat	3392
17	Werbe	3152
18	Mahoose	3024
19	FreakGenius	2879
20	Tyrannosplart	2304
21	HellsSponge	2296
22	MyNameIsJobo	2240
22	Kowcio_	2240
24	T045RTY	2160
24	noam464	2160
26	EveryonesUncle	2016
27	Manaateee	1888
28	EMC_	1840
28	Chromary	1840
30	thewindmillman	1776
31	pintsizedrogue	1744
32	PigDab	1703
33	AdmiralSmoke	1664
34	Frozil20	1632
34	rarrq	1632
34	NoChumpChange	1632
34	YungMaki	1632
34	ConnorDanky_	1632
39	Skylord_Luke	1568
40	MousePlays	1536
40	kyouma777	1536
42	burbankbuilder28	1408
43	thescout7	1343
44	Lord_Jord	1200
45	Snowflowe	1120
46	Inchef	1088
47	Sral7	1071
48	m_be9	1056
49	500am	976
49	Krowuss	976
51	xxPipperDipperxx	928
52	xzvu	912
53	12Magner05	864
54	Merv__	848
54	Kakolbus	848
56	Nicserso	816
57	Huwulling	784
58	Legendosh	736
59	Fuad_R	704
60	mihimihimihi	680
61	Jovaphobic	672
61	Fullut	672
61	Winklepicker279	672
61	weabis	672
65	HoltGrim	640
66	Skippeh	576
67	Incinere	560
67	Historical_Sand	560
67	Di_infiri	560
67	Soplight	560
71	__tomato	528
71	xolstoi	528
73	set67	512
73	Zythose	512
75	Shogunite	501
76	Blackberry1310	480
76	1442	480
78	CrateOfBoxes	464
79	jessewegottacook	462
80	Cowison	416
80	MilleGrug	416
82	PhantomsGhost_	400
82	cichy096	400
84	RoskobiOne	384
85	Mattesco	368
86	Lez_	352
86	kekhon	352
86	jnp_gaming	352
89	Billious	332
90	ImpavidArcher	320
90	Jackattack53	320
92	PazinGaming	304
92	teslawolf38	304
92	Comma__	304
92	LeauVox4921	304
92	gcaisawesome	304
92	Onennon	304
98	Tolhart	288
98	Xclax101	288
98	MightyWertu	288
98	Racengan	288
98	IdeallyGrey	288
103	Mr_Byzantine	272
104	ROY4LE	256
104	LeonelSalamanca	256
104	Factoroni	256
104	Enderxz3	256
108	Ezekson	240
109	Zedducius	224
109	excelsionprime	224
109	himak1	224
109	r123moore	224
109	Jimb0nat0r	224
114	titanlax	208
114	yheece	208
114	SuperPooch06	208
114	The_slideV3	208
118	Apollo_993	192
118	Badenbeele	192
118	zorin123	192
118	EngagedGrub41	192
122	diamondgolem35	176
122	ApophisNova	176
122	MyNamaSheff	176
122	MirielThePastor	176
122	00000000-0000-0000-0009-01ff0c3e5e4f	176
127	_Virify_	160
127	crying_wolf_13	160
127	drunkeeez	160
127	_Karmaa	160
127	El_Jalapeno	160
127	lcvezra	160
127	Biites	160
134	UrbanPlanningEx	152
135	selectrix	144
135	valkam13	144
137	BobDeBouwer1337	128
137	bloodbiter	128
137	pappaberg	128
137	Maenara	128
137	_Mythic____	128
137	fffMike	128
137	Quotary	128
144	ShedJr_	112
144	SellyZ	112
144	Kubelz	112
144	Elastiq	112
144	AlphaWolfPlaysMC	112
144	NameGenerat0r	112
144	TheEnderMan548	112
144	07shiny	112
152	_Huge_Male_	96
152	bigstankyy	96
152	Swexti	96
152	Karetoko	96
152	LAVA129	96
152	Jimi7hits	96
152	SingedBread	96
152	Eraxa	96
152	yatsuta	96
152	djancak	96
152	CalebDHawk	96
152	KingMatthew506	96
164	Ryan_GEMS	80
164	SaucyDark	80
164	RebelAndroid	80
164	SquadMonster	80
164	lorpus	80
164	PegLegPete93	80
164	Zaridey	80
164	impossibleteapot	80
164	Hoid_the_Roamer	80
164	tobinwilliams	80
164	Cocoamallows	80
164	Optiprimus	80
164	SvenskaHugo	80
164	pixelviolin	80
164	Luigipunch989	80
164	PortlyPete69	80
164	_i_ERROR_i_	80
181	KarlKaek	64
181	Natty	64
181	MoistMicrowave	64
181	Myszoaz	64
181	Alphanzt99	64
181	DermeinUser	64
181	Donutt	64
181	Felenov	64
181	LeGold	64
181	SaintJosie	64
181	IamCL4SSY	64
181	Austinizzle	64
181	Akoot_	64
181	wezzzi	64
181	Fuhrer_Teemo	64
181	ProfessorDiaper	64
181	stavgod	64
181	Steelynan	64
181	VentiHilton	64
200	Bandito_Roamer	48
200	Crowvens	48
200	SmashingPump	48
200	shineh10	48
200	6king6colt6	48
200	Ryker	48
200	Ssor69	48
200	roxycherry	48
200	Malorn_Aetherius	48
200	ProfessorBee	48
200	Smashic	48
200	NoxxxxiS	48
200	oscminus	48
200	TheWildMateo	48
200	ooga47	48
200	Shiirazu	48
200	ougstur	48
200	PuFY	48
200	_Bguette_	48
200	claivin	48
200	Blu3beast	48
200	fluddd	48
200	Groundler	48
200	SkateboardR6	48
200	iSammael	48
200	Haadrada	48
226	sp00ky_ghost977	40
227	Tobinator_007	32
227	Froste131	32
227	Tommhh	32
227	Sleek_Storm_721	32
