rank	username	minecraft:crafted/minecraft:chiseled_nether_bricks
1	PigDab	585
2	r123moore	64
2	thewindmillman	64
4	BobDeBouwer1337	38
5	SmashingPump	12
6	teslawolf38	8
7	beeperbeeper5	2
7	500am	2
9	TheBiggestFeller	1
9	Kowcio_	1
