rank	username	minecraft:crafted/minecraft:polished_blackstone_wall
1	Hyp3rion_	1404
2	Mahoose	816
2	Jackattack53	816
4	xxPipperDipperxx	465
5	ITDV	402
6	luseis	388
7	Soplight	353
8	Mattesco	342
9	Spacewardharpy7	324
10	burbankbuilder28	126
10	Dusk_95	126
12	joethahobo	108
13	teslawolf38	102
14	set67	66
15	k_ce	60
15	RebelAndroid	60
15	Alteriity	60
15	noam464	60
15	AltnumberF4	60
20	Shogunite	54
21	EcksD	48
22	Smoke____	40
23	pintsizedrogue	37
24	FreakGenius	30
24	CattSoup	30
26	jessewegottacook	24
27	Deathkob	21
28	Arceus1975	20
29	HellsSponge	16
30	PlasticOtari	15
31	Blackberry1310	14
32	_Razaria	13
33	Merv__	12
33	Lez_	12
33	Decaying_Lotus	12
33	Winston_Ingram	12
37	BobDeBouwer1337	6
37	RoofTyler	6
37	sp00ky_ghost977	6
37	IvarEXE	6
41	Kowcio_	5
41	Jimb0nat0r	5
43	Legendosh	4
44	jacxhadow	3
45	Rebytre	2
46	Awyrlas	1
