rank	username	minecraft:crafted/minecraft:gold_nugget
1	Hyp3rion_	290838
2	Huwulling	152565
3	PhantomsGhost_	76738
4	Groundler	50703
5	wwwwinnebagoooo	45459
6	kekhon	35656
7	r123moore	26658
8	Fullut	24361
9	MightyWertu	20345
10	EcksD	17607
11	beeperbeeper5	17352
12	mwrty	16528
13	Jackattack53	14805
14	Eraxa	13351
15	gusstationwerker	12597
16	Kakolbus	12167
17	MovingFish7	12061
18	TheDankPlatypus	10964
19	YungMaki	10551
20	Frozil20	9153
21	NomadicRobin_	9099
22	yulgur1	8255
23	CoffeeNoir	7887
24	thewindmillman	7655
25	set67	7650
26	Skippeh	6971
27	Dogcorn69420	6327
28	masskedman	6294
29	eitanzaki	6247
30	Kowcio_	5745
31	ApophisNova	5607
31	MyNamaSheff	5607
33	Kyrum2169	5255
34	Fuad_R	5232
35	noam464	5027
36	ConnorDanky_	4949
37	Cocoamallows	4920
38	__tomato	4743
38	xzvu	4743
40	m_be9	4590
41	Lez_	4302
42	Enderxz3	4190
43	IamCL4SSY	4178
44	Smoke____	3815
45	RebelAndroid	3744
46	brofrickcheaters	3689
47	500am	3672
48	HellsSponge	3627
49	Spacewardharpy7	3607
50	Di_infiri	3554
51	Elastiq	3541
52	Vorlice	3456
53	lorpus	3424
54	bladeefan2009	3282
55	claivin	3202
56	Euclidoris	3094
57	rarrq	3073
58	mariominejedi	3027
59	Blaiku	2944
60	Rasmanden	2929
61	Jovaphobic	2826
62	pintsizedrogue	2806
63	Megarboh	2799
64	_8man	2601
65	Lord_Jord	2553
66	MilleGrug	2474
67	jimintyy	2457
67	Barlycorn	2457
69	GlitchyPlate810	2417
70	Cryptacity	2302
71	SvenskaHugo	2267
72	_TCARREIRA_	2179
73	Da_Boss_Rani	2133
74	Hermanni__	1989
75	lizardfightclub	1981
76	AuroraValkyrie	1917
77	coobert42	1890
78	LetsDoItLive	1881
79	bloodbiter	1874
80	Noah_Bez	1860
81	gaziter10	1818
82	Inbefour	1761
83	BlankityMcBlank	1737
84	SingedBread	1725
85	Hisiste	1719
86	fluddd	1696
87	zToasty69z	1692
88	Blackberry1310	1688
89	Hoid_the_Roamer	1665
90	Vizzoid	1644
91	SammiWolfGirl	1611
92	Fildyr	1521
93	AltnumberF4	1445
94	Eczbek	1368
95	ProfessorBee	1309
95	Sral7	1309
97	Kynigito	1238
98	Onennon	1217
99	Fizznut909	1197
100	sp00ky_ghost977	1183
101	Tyrannosplart	1177
102	jnp_gaming	1170
103	NoChumpChange	1160
104	wezzzi	1152
104	lillips	1152
106	TheSecondLord	1125
107	ougstur	1115
108	Nicserso	1072
109	PortlyPete69	1056
110	SpouHn	1053
110	GoofyBread	1053
112	elicobnoah	1026
113	surfinggiraffejp	970
113	PigDab	970
115	Akoot_	967
116	Legendosh	964
117	12Magner05	963
118	ROY4LE	957
119	master9067	945
120	6king6colt6	909
121	WET_WET_WET	900
122	Mythic1130	891
123	_Virify_	886
124	IforgotCS_Source	885
125	MyNameIsDakar	864
125	lordpipe	864
127	himak1	831
128	CyrusIsTired	828
129	AlphaWolfPlaysMC	792
130	xxPipperDipperxx	785
131	FirsTimeGamingTV	783
132	tartanboy	774
133	titanlax	764
134	_Nuf	729
134	DarlaMeow	729
136	Hiryu27	720
137	MunkaKris	709
138	Prismyst	693
139	Dusk_95	684
140	obzii	648
141	Ezekson	637
142	hm947	630
143	rotten_mango	612
144	Historical_Sand	594
144	MattieHD	594
144	SaintJosie	594
147	Racengan	585
148	DanTheBuilderino	583
149	jacxhadow	581
150	EMC_	576
150	ImpavidArcher	576
150	Werbe	576
150	FreakGenius	576
154	fffMike	567
155	yatsuta	542
156	luseis	520
157	gary_	504
157	Corbsman	504
159	TheShyPig	495
160	Incinere	477
161	valkam13	468
162	handsome_strong	456
163	UncreativeArtist	451
164	M_Patata	450
164	StormPool	450
164	MasterNueve	450
167	Bumpy419	423
168	mihimihimihi	416
169	binman420	405
170	DermeinUser	396
170	Steelynan	396
172	ReverendSmith	387
172	sxc_	387
174	rats_life	378
175	Fuhrer_Teemo	369
175	Dreamdbr14	369
177	Merv__	351
178	Rumpletaezer	342
179	Xclax101	324
179	djancak	324
181	AuroraSkies	316
182	JitteryJared2	306
182	Winston_Ingram	306
184	Typadopoulos	297
185	fade_emerge78823	288
185	El_Jalapeno	288
187	prizm_	281
188	__lizi	279
188	Kubeusz2010	279
190	Soplight	252
191	RadarHz	249
192	thescout7	243
192	orxngejuice	243
192	SellyZ	243
195	Paintz	225
196	Windo_licker	216
196	technic_squirrel	216
198	Quotary	211
199	pZygh0st	207
199	ReflexCode	207
201	Lutres_Torane	206
202	Mahoose	201
203	DinoDoctor_	198
204	T045RTY	197
205	Travasaur	189
206	picardred	180
206	seramalen	180
206	diggydog67	180
209	Arceus1975	177
210	redikul	162
211	SugarMyNuggets	153
211	I_Am_Mushkin	153
211	Awyrlas	153
214	ThiccExotic	144
214	hcb238	144
216	Marbz_	135
217	2Stout	127
218	_Razaria	126
218	Alteriity	126
218	IAmTheWalrus910	126
218	00000000-0000-0000-0009-01ff0c3e5e4f	126
222	Bandito_Roamer	120
223	platinumzero	117
224	Zythose	116
225	lcvezra	108
226	_Wannabe_	99
226	vandmanden	99
226	JayToe	99
229	curterr	90
229	wfk7	90
231	dudcreeper	81
231	Tolhart	81
231	SeverianTheLame	81
231	tobinwilliams	81
231	ItsAki_	81
231	Luminad3	81
231	EveryonesUncle	81
231	GoofySilly	81
231	bitsplease	81
240	eiC_	72
240	XxCookiequeenxX	72
240	KingMatthew506	72
243	Ender_Souls	63
243	stellarjay	63
245	AnnieBathory	61
246	monky_irl	56
247	joethahobo	54
247	ratglock	54
247	Kamflame10	54
247	SuperPooch06	54
247	Sorenon	54
252	PlasticOtari	53
253	Bobby808	52
254	epiksk8erduck	45
254	ogoa	45
254	tsitrawhy	45
254	Powowowow	45
258	Groovy_MoonBird	36
258	bigstankyy	36
258	BlancoFlaco	36
258	Ardennes	36
258	BilboBaggins23	36
258	XboxPanda	36
258	Quaintster	36
258	Travka100	36
266	KlausVonStiglitz	30
267	RobotMinion101	27
267	NotMeowMix	27
269	TechnoNinja64	24
270	ooga47	23
271	FazeObama69	22
