rank	username	minecraft:crafted/minecraft:spyglass
1	Hyp3rion_	38
2	500am	21
3	Mahoose	13
4	fluddd	10
5	pintsizedrogue	9
6	12Magner05	6
6	Jiminie	6
6	Fuad_R	6
6	Steelynan	6
10	eitanzaki	4
10	Marbz_	4
10	EveryonesUncle	4
10	PlasticOtari	4
10	Smoke____	4
15	MSK__	3
15	Crowman1	3
15	Inchef	3
15	ApophisNova	3
15	MyNamaSheff	3
20	CoffeeNoir	2
20	CharlieButt	2
20	Toriankel	2
20	SvenskaHugo	2
20	YungMaki	2
20	Enderslayerxz3	2
20	Jimb0nat0r	2
27	RoskobiOne	1
27	EMC_	1
27	Frozil20	1
27	ImpavidArcher	1
27	hm947	1
27	Killercatty78	1
27	Flores991	1
27	TAKrules	1
27	ShedJr_	1
27	beeperbeeper5	1
27	TheSecondLord	1
27	Lumien_	1
27	Smashic	1
27	TerraVl	1
27	egglapras	1
27	fade_emerge78823	1
27	Mookle96	1
27	Xalithia	1
27	LeauVox4921	1
27	noam464	1
27	TheDankPlatypus	1
27	Kakolbus	1
27	Winklepicker279	1
27	Jackattack53	1
27	thewindmillman	1
27	Snowflowe	1
27	_Boipl_	1
27	Moofyman	1
27	AuroraSkies	1
27	NameGenerat0r	1
27	Freak_Genius	1
27	Not_Insom	1
27	Spacewardharpy7	1
27	ItsDeltaMC	1
27	CalebDHawk	1
27	mobunni	1
27	Xi_J1nping	1
27	EcksD	1
27	AltnumberF4	1
27	calamariclam_I	1
27	00000000-0000-0000-0009-01fbab7ea71d	1
