rank	username	minecraft:crafted/minecraft:shears
1	thewindmillman	9191
2	joethahobo	7171
3	noam464	7140
4	EcksD	7098
5	HellsSponge	6964
6	beeperbeeper5	1831
7	Werbe	1780
8	Inbefour	1740
9	Hyp3rion_	1686
10	Jackattack53	1353
11	Blaiku	1319
12	Historical_Sand	1115
13	YungMaki	1057
14	Lord_Jord	1018
15	Bumpy419	872
16	Ryker	679
17	oxfordschool	608
18	Smoke____	482
19	eitanzaki	477
20	El_Jalapeno	468
21	Spacewardharpy7	465
22	Di_infiri	341
23	xxPipperDipperxx	339
24	Skylord_Luke	310
25	Freak_Genius	299
26	Steelynan	294
27	EMC_	292
28	TheShyPig	274
29	jnp_gaming	269
30	pintsizedrogue	259
31	Mahoose	251
32	m_be9	228
33	Rumpletaezer	221
33	Soplight	221
35	Prismyst	209
36	MightyWertu	196
37	ImpavidArcher	193
38	fffMike	183
39	Quotary	159
40	CoffeeNoir	152
41	Fullut	147
42	Legendosh	145
43	SpacesickPrism	136
43	Enderslayerxz3	136
45	MinttyFressh	135
46	gabriels543	132
47	mariominejedi	123
47	Hermanni__	123
49	thescout7	116
50	Barlycorn	113
51	lordpipe	110
52	Groundler	106
53	Valoth	100
54	PigDab	91
55	mwrty	90
56	r123moore	86
57	Zoeyfortnite	84
58	cedric72	82
59	rarrq	76
60	RebelAndroid	73
61	PlasticOtari	70
62	500am	67
63	wezzzi	64
64	Merv__	63
64	Kakolbus	63
66	WET_WET_WET	62
67	EveryonesUncle	60
68	kekhon	56
68	Tjhodskins19	56
68	XxCookiequeenxX	56
71	_Dean_123	55
72	ApophisNova	54
72	MyNamaSheff	54
74	Blackberry1310	50
75	corvidpartyfor6	48
75	Skippeh	48
77	Snowflowe	47
78	Jiminie	45
79	Xclax101	44
80	lillips	43
81	AlexxO_o	41
81	StinkyDiplomat	41
81	Eraxa	41
84	Zythose	40
85	ROY4LE	39
86	Quincannon	37
86	claivin	37
88	Njensen7	35
89	K_a__a_n	34
89	EcksDofficial	34
91	TheSecondLord	33
91	The_slideV3	33
93	Frozil12	32
94	kinas45y5	31
95	Blu3beast	29
95	Factoroni	29
95	Kowcio_	29
98	Awyrlas	28
98	MakeHistory157	28
98	SammiWolfGirl	28
98	vandmanden	28
102	titanlax	27
102	burbankbuilder28	27
104	MyNameIsJobo	26
104	The11thDoctor	26
104	NameGenerat0r	26
107	TheBiggestFeller	25
107	M_Patata	25
107	Arceus1975	25
107	Rebytre	25
107	ToastedGamingYT	25
107	MasterNueve	25
113	heckface	24
113	AltnumberF4	24
115	Groovy_MoonBird	23
115	diamondgolem35	23
115	T045RTY	23
115	IWorkAtIkea	23
115	set67	23
115	Xalithia	23
115	PortlyPete69	23
122	pixelviolin	22
123	__tomato	21
123	GlitchyPlate810	21
123	Miko_Fullbuster	21
123	2blox	21
127	Onennon	20
127	lcvezra	20
127	KingMatthew506	20
130	Cryptacity	19
130	gcaisawesome	19
130	Kouridragon	19
130	Akoot_	19
130	Racengan	19
135	SaucyDark	18
135	Chickenchaser2	18
135	PeteO1995	18
135	fred870d	18
135	Ezekson	18
140	KarlKaek	17
140	Kubelz	17
140	Chromary	17
140	Mistruth	17
140	Sral7	17
145	PhantomsGhost_	16
145	Ssor69	16
145	Inchef	16
145	hcb238	16
145	chipklip	16
145	07shiny	16
145	Luigipunch989	16
