rank	username	minecraft:crafted/minecraft:clay
1	Jackattack53	18651
2	TheShyPig	2677
3	h2p_emrld	2089
4	EveryonesUncle	1793
5	PhantomsGhost_	1736
6	SSytex_X	1499
7	Bandito_Roamer	1414
8	Di_infiri	1198
9	joethahobo	1188
10	ProfessorBee	1069
11	pintsizedrogue	995
12	crashomon	926
13	Iamthejo	900
14	RebytreGT	764
15	PlasticOtari	748
16	shadowthemonkey	746
17	SaucyDark	661
18	ConnorDanky_	630
19	thgrocks	628
20	wobn	619
21	Huwulling	582
22	BeardBois	578
23	00000000-0000-0000-0009-01ff0c3e5e4f	571
24	eiC_	554
25	Hahaa_0	550
26	thescout7	524
27	miramyu	509
28	bigstankyy	466
29	Enderxz3	465
30	livingdaydreams	448
31	Merv__	438
32	Tobinator_007	433
33	F_Uhre	424
34	dopplexd	423
35	luseis	421
36	Ryker	401
37	NinjaKnifeKill	385
38	Rasmanden	384
38	master9067	384
40	Sheldor097	381
41	SvenskaHugo	368
42	Foof13	357
43	xxPipperDipperxx	355
44	Sleepy_Evelyn	354
45	Inbefour	346
46	KarlKaek	341
47	m_be9	325
48	CalebDHawk	322
49	lorywithay	319
50	SOA1RR	309
51	dedgt	308
52	Tommhh	306
53	RohnJosin	298
54	Invisie	296
55	Blamphe	289
56	Saucepeh	279
57	AspenLightVT	269
58	CoffeeNoir	264
59	Yamdalorian	263
60	Onennon	261
61	RadarHz	256
62	TheEnderMan548	254
63	FreakGenius	250
64	Toriankel	243
65	ImDisconnected_	236
65	Deerfoot	236
67	annoyingenderman	222
68	CarryLine	218
69	PaperCanvas	215
70	cheerytomato	208
71	vandmanden	204
72	Mr_Sun15	198
73	12Magner05	193
74	Malorn_Aetherius	192
75	JohnPrice	191
76	Stynxy	184
77	PortlyPete69	183
78	Ecplosive	182
79	ZigzagLily43042	158
80	ReflexCode	155
80	mobunni	155
82	SPUDonSTEROIDS	151
83	Manaateee	149
84	Fuad_R	145
85	monolu	138
86	Syropatathe	134
86	YungMaki	134
88	Paint	129
88	MrExplorer	129
88	mwrty	129
91	gcaisawesome	128
91	Jiminbub	128
91	SwooshBoi	128
94	BlueZabu	126
94	thewindmillman	126
96	QuiCreans	122
96	Kubeusz2010	122
98	juuustpeachy	120
99	fffMike	112
100	SDMNAEK	111
101	DadWorksForSega	108
101	Mattesco	108
101	El_Jalapeno	108
104	Optiprimus	103
