rank	username	minecraft:crafted/minecraft:diorite_slab
1	YungMaki	5376
2	Xalithia	2292
3	DanTheBuilderino	1158
4	purpolepickle	992
5	trexgb	720
6	MrExplorer	660
7	Huwulling	618
8	Mr_Byzantine	456
9	GlitchyPlate810	438
10	Werbe	396
11	Comma__	384
12	EMC_	306
13	ThiccExotic	270
14	EngagedGrub41	174
15	r123moore	162
16	EcksD	124
17	QuiCreans	120
18	PegLegPete93	102
19	Mahoose	96
20	Legendosh	82
21	KarlKaek	66
21	spellmre	66
21	diggydog67	66
24	ApophisNova	60
24	MyNamaSheff	60
26	oreee	48
26	benediktine1	48
26	Bumpy419	48
29	joethahobo	42
30	Stiar	36
30	TheShyPig	36
30	luseis	36
30	RoofTyler	36
34	GLLogan2	30
35	Inbefour	18
35	NameGenerat0r	18
35	Barlycorn	18
35	MilleGrug	18
35	Njensen7	18
35	xolstoi	18
41	binman420	12
41	Meatlaugh	12
41	Racengan	12
44	FreakGenius	10
45	PhantomsGhost_	6
45	CarsonDoesMine	6
45	noam464	6
45	Chromary	6
45	Akoot_	6
45	AlexChristian	6
45	HellsSponge	6
45	Blu3beast	6
45	iSammael	6
45	ediballbearings	6
45	jaimshae	6
45	WYFYoyo	6
45	Smoke____	6
58	beeperbeeper5	2
58	Soplight	2
