rank	username	minecraft:crafted/minecraft:beacon
1	noam464	1395
2	Hyp3rion_	784
3	Frozil20	691
4	Spacewardharpy7	612
5	NomadicRobin_	416
6	_Mythic____	288
7	HellsSponge	211
8	Blaiku	197
9	thescout7	132
10	thewindmillman	117
11	hanaryheatwave	64
12	Yamdalorian	57
13	EcksD	56
14	PigDab	54
15	eitanzaki	48
16	Lez_	37
17	r123moore	36
18	Jackattack53	33
18	oscminus	33
20	Di_infiri	29
21	Werbe	28
22	Sral7	27
23	lordpipe	25
24	joethahobo	20
25	EveryonesUncle	19
26	beeperbeeper5	12
26	PortlyPete69	12
28	Tyrannosplart	11
28	MilleGrug	11
30	gcaisawesome	9
31	Groundler	8
31	vandmanden	8
33	ImpavidArcher	6
33	yheece	6
33	Arceus1975	6
33	_MeowMix	6
37	robertsnose	5
37	RebelAndroid	5
37	Maenara	5
37	_i_ERROR_i_	5
37	Skippeh	5
42	SaucyDark	4
42	Corbsman	4
42	wezzzi	4
42	Cocoamallows	4
42	Kyrum2169	4
47	Merv__	3
47	tuckerdoodle	3
47	MattieHD	3
47	mwrty	3
47	Zythose	3
47	King_Pancake1	3
47	Bumpy419	3
47	ApophisNova	3
47	Onennon	3
47	Rasmanden	3
47	Wowful	3
47	claivin	3
47	doublemaki	3
47	Spenduh	3
47	MyNamaSheff	3
47	Legendosh	3
63	Groovy_MoonBird	2
63	Bandito_Roamer	2
63	PhantomsGhost_	2
63	Iagoku	2
63	TooManyDuck	2
63	Gundam_Steven	2
63	rarrq	2
63	jushykins	2
63	Studio4x32	2
63	Mewar	2
63	Chromary	2
63	Rumpletaezer	2
63	wx4z	2
63	RobotMinion101	2
63	AlphaWolfPlaysMC	2
63	audiocracked	2
63	Umprella	2
63	Blu3beast	2
63	stavgod	2
63	pixelviolin	2
63	Kowcio_	2
63	Soplight	2
63	xzvu	2
63	_TCARREIRA_	2
63	Steelynan	2
63	Eczbek	2
63	jnp_gaming	2
63	2blox_	2
91	k_ce	1
91	jspwn	1
91	AuroraValkyrie	1
91	Niklas20114552	1
91	q_wq	1
91	jimintyy	1
91	lorywithay	1
91	Lazy_geniusig	1
91	ShedJr_	1
91	301851	1
91	Historical_Sand	1
91	gaziter10	1
91	nocturne78	1
91	SquadMonster	1
91	FirsTimeGamingTV	1
91	royal_2	1
91	Euclidoris	1
91	titanlax	1
91	TheSecondLord	1
91	Comma__	1
91	m_be9	1
91	Megarboh	1
91	_Nuf	1
91	Secret_Canary	1
91	Fullut	1
91	i2f8x4h8ro	1
91	excelsionprime	1
91	Kamflame	1
91	lpinfinity	1
91	Scathra	1
91	KGTV	1
91	Inchef	1
91	ROY4LE	1
91	SellyZ	1
91	theonlymagikarp	1
91	XboxPanda	1
91	M_Patata	1
91	Zaridey	1
91	SuperPooch06	1
91	RefluxRatio	1
91	_8man	1
91	Krowuss	1
91	Hiryu27	1
91	F_Uhre	1
91	Skwillyum13	1
91	J4k__	1
91	zToasty69z	1
91	Dan_Scha	1
91	XxCookiequeenxX	1
91	Deodorante	1
91	YungWali	1
91	drumine	1
91	GoofyBread	1
91	DarlaMeow	1
91	Soap_Bender	1
91	The_slideV3	1
91	_Karmaa	1
91	AstreaTSS	1
91	El_Jalapeno	1
91	blackeemperor	1
91	Xclax101	1
91	Gus2005	1
91	_flud	1
91	MightyWertu	1
91	SingedBread	1
91	Hisiste	1
91	MasterNueve	1
91	MakeHistory157	1
91	shuniji_	1
91	Eraxa	1
91	07shiny	1
91	__tomato	1
91	Heisenbberrg	1
91	robonya_	1
91	elliebelle107	1
91	Kubeusz2010	1
91	chiakirice	1
91	tartanboy	1
91	Ezekson	1
91	FelixPSY375	1
91	Powowowow	1
91	PlasticOtari	1
91	TwinTowerV2	1
91	Spaghettatron	1
91	trexgb	1
91	diggydog67	1
