rank	username	minecraft:crafted/minecraft:black_bed
1	PigDab	217
2	12Magner05	128
3	El_Jalapeno	71
4	jnp_gaming	66
5	__tomato	64
6	TheSecondLord	46
7	pintsizedrogue	41
8	_Virify_	40
9	HolyVenom	35
10	Racengan	34
11	Fullut	26
12	NinjaKnifeKill	16
13	TheShyPig	11
13	MyNameIsDakar	11
15	Freak_Genius	10
16	Jordan_R	9
17	joethahobo	8
17	SquadMonster	8
17	thewindmillman	8
17	Akoot_	8
17	sp00ky_ghost977	8
22	openatheclose	6
23	teslawolf38	5
23	titanlax	5
23	eiC_	5
23	burbankbuilder28	5
27	eitanzaki	4
27	nocturne78	4
27	bloodbiter	4
30	Ssor69	3
30	Blackberry1310	3
30	kekhon	3
30	500am	3
30	Bumpy419	3
30	IdeallyGrey	3
30	Kowcio_	3
30	PortlyPete69	3
30	Slapface522	3
39	Groovy_MoonBird	2
39	AuroraValkyrie	2
39	Mahoose	2
39	H72l9w	2
39	BobDeBouwer1337	2
39	MrExplorer	2
39	himak1	2
39	UncleDanDan	2
39	fkGrim	2
39	lcvezra	2
39	cichy096	2
39	Lowjinx	2
51	SugarMyNuggets	1
51	Travasaur	1
51	Paint	1
51	bigstankyy	1
51	Dedalus36	1
51	Slinkyy7071	1
51	TooManyDuck	1
51	BodaciousCake	1
51	livingdaydreams	1
51	No_u4	1
51	Natty	1
51	Vizzoid	1
51	Cryptacity	1
51	Rich_Kat	1
51	Ardennes	1
51	Guillemet	1
51	zMarciano	1
51	minersam1	1
51	Gingayy	1
51	Scathra	1
51	xxPipperDipperxx	1
51	Stiar	1
51	Covalents	1
51	Zaridey	1
51	Justins_Juliet	1
51	loveseeker	1
51	F_22_	1
51	The_Fulgurator	1
51	RohnJosin	1
51	Onennon	1
51	Kokeech	1
51	Zoniak1	1
51	SpookyDraggin	1
51	audiocracked	1
51	SpouHn	1
51	EveryonesUncle	1
51	SolicitedPuma101	1
51	Renchi19	1
51	Soap_Bender	1
51	_Karmaa	1
51	Blu3beast	1
51	fluddd	1
51	Zetsey	1
51	BlankityMcBlank	1
51	djancak	1
51	Juh1s	1
51	xof_on_microwave	1
51	CalebDHawk	1
51	Sheldor097	1
51	Nargotah	1
51	Kubeusz2010	1
51	imaginek1d	1
51	UrbanPlanner1978	1
51	Kateesaur	1
51	FishisTTV	1
51	h2p_emrld	1
51	diggydog67	1
