rank	username	minecraft:crafted/minecraft:raw_iron_block
1	thewindmillman	3790
2	Ezekson	1274
3	pintsizedrogue	1121
4	gcaisawesome	812
5	EMC_	619
6	500am	498
7	TheSecondLord	440
8	Myszoaz	203
9	PlasticOtari	193
10	GlitchyPlate810	182
11	corvidpartyfor6	181
12	Enderslayerxz3	164
13	12Magner05	152
14	Jiminie	146
15	SingedBread	145
16	yulgur1	137
17	RebelAndroid	135
18	Flores991	118
19	Kakolbus	115
20	Smoke____	105
21	Rocco_Lane	100
22	diamondgolem35	97
22	calamariclam_I	97
24	Kowcio_	89
25	SlayerCrypto	81
26	hcb238	78
27	TAKrules	75
28	ApophisNova	73
28	SvenskaHugo	73
28	MyNamaSheff	73
31	Miko_Fullbuster	71
32	starbits140	65
33	beeperbeeper5	64
34	fffMike	60
35	Lutres_Torane	54
36	Mahoose	51
37	underscore_2	47
38	pixelviolin	45
39	prizm_	44
40	fw3xywashere	35
40	smogfrog	35
42	Huwulling	32
42	Hermanni__	32
44	Rebytre	19
45	drunkeeez	17
46	Da_Boss_Rani	14
46	lordpipe	14
46	Aryamanee	14
49	groofles	13
50	brofrickcheaters	12
51	ConJaBz	11
52	Flapjacker687	8
53	Sleepy_Time_	7
54	Kubelz	6
55	q_wq	5
55	Fuad_R	5
55	mobunni	5
58	kekhon	3
59	fade_emerge78823	2
59	dartwaffle	2
59	Steelynan	2
62	Krasnal1337	1
62	nataliecool	1
62	TJawesome09	1
62	iSammael	1
