rank	username	minecraft:crafted/minecraft:gunpowder
1	Snowflowe	16
1	oscminus	16
1	claivin	16
1	Eraxa	16
5	MoistMicrowave	8
5	beeperbeeper5	8
5	heckface	8
5	bloodbiter	8
5	m_be9	8
5	kekhon	8
5	Fullut	8
5	thescout7	8
5	Onennon	8
5	Rasmanden	8
5	LeonelSalamanca	8
5	Manaateee	8
5	Soap_Bender	8
5	non089	8
5	SpacesickPrism	8
5	ConnorDanky_	8
5	Sral7	8
22	legal_tax_evader	2
22	corpsecity	2
24	himak1	1
24	TheBananaKat	1
