rank	username	minecraft:crafted/minecraft:jukebox
1	fred870d	67
2	noam464	65
3	NomadicRobin_	36
4	HellsSponge	23
5	Blu3beast	16
6	beeperbeeper5	12
6	claivin	12
8	Inchef	11
9	Mahoose	10
9	Bumpy419	10
11	sebastiensaborio	9
12	12Magner05	8
12	chipklip	8
14	kekhon	7
14	EveryonesUncle	7
14	NameGenerat0r	7
14	fluddd	7
14	lordpipe	7
19	TheSecondLord	6
19	500am	6
19	Akoot_	6
19	Njensen7	6
23	pintsizedrogue	5
23	Merv__	5
23	RobotMinion101	5
23	SingedBread	5
23	Ezekson	5
28	_Virify_	4
28	ssleepless	4
28	ImpavidArcher	4
28	Incinere	4
28	rarrq	4
28	Fullut	4
28	mwrty	4
28	xxPipperDipperxx	4
28	Cocoamallows	4
28	YungMaki	4
28	oxfordschool	4
39	Groovy_MoonBird	3
39	PhantomsGhost_	3
39	joethahobo	3
39	_Dean_123	3
39	Awyrlas	3
39	ROY4LE	3
39	Soplight	3
39	lcvezra	3
39	CalebDHawk	3
39	Legendosh	3
49	teslawolf38	2
49	SaucyDark	2
49	eitanzaki	2
49	T045RTY	2
49	Historical_Sand	2
49	Blackberry1310	2
49	bloodbiter	2
49	egglapras	2
49	Jackattack53	2
49	thewindmillman	2
49	pappaberg	2
49	kars0n	2
49	Skylord_Luke	2
49	Werbe	2
49	CruncyIsTaken	2
49	Onennon	2
49	epiksk8erduck	2
49	OtariCharlie	2
49	TheShyPig	2
49	sammidk	2
49	RodSerlingCringe	2
49	Maenara	2
49	_Bguette_	2
49	AssEatrAndLicker	2
49	Airem_Core	2
49	Eraxa	2
49	Vellu21	2
49	Enderslayerxz3	2
49	jnp_gaming	2
49	Powowowow	2
49	Smoke____	2
80	Jovaphobic	1
80	Bandito_Roamer	1
80	Tobinator_007	1
80	Mr_Byzantine	1
80	dudcreeper	1
80	abramgray	1
80	dabloons	1
80	ItsColin11	1
80	hollowww	1
80	Drlzyy	1
80	lewieinnit	1
80	SlowMoNinja1994	1
80	q_wq	1
80	6king6colt6	1
80	chimpmunker	1
80	xXTheWolfmanXx	1
80	Dedalus36	1
80	hm947	1
80	Hpdinosaur	1
80	RebelAndroid	1
80	CoffeeNoir	1
80	awesomeoneme	1
80	ivorico	1
80	Barjas	1
80	MOSS000	1
80	Myszoaz	1
80	H72l9w	1
80	FirsTimeGamingTV	1
80	heckface	1
80	urbeans	1
80	Ozixar	1
80	roxycherry	1
80	Comma__	1
80	ProfessorBee	1
80	zorin123	1
80	Guillemet	1
80	Lumien_	1
80	BilboBaggins23	1
80	crying_wolf_13	1
80	Kkanot	1
80	Kamflame10	1
80	PegLegPete93	1
80	Xalithia	1
80	r123moore	1
80	Dyosy	1
80	Covalents	1
80	Paintz	1
80	M_Patata	1
80	TableTim	1
80	fallingemma	1
80	CollinMH06	1
80	MyNameIsJobo	1
80	Norrhede	1
80	SuperPooch06	1
80	Chromary	1
80	Rumpletaezer	1
80	Hyp3rion_	1
80	burbankbuilder28	1
80	MangoTheFish	1
80	Parcc	1
80	Donutt	1
80	Voxin2K	1
80	The11thDoctor	1
80	Kynigito	1
80	MinerDec	1
80	_Cloverbelle_	1
80	Drewen24	1
80	ADEXTV	1
80	Nicky19	1
80	TheTrueClipse	1
80	wezzzi	1
80	AlphaWolfPlaysMC	1
80	Inbefour	1
80	ese_wn_po	1
80	Jiminbub	1
80	fkGrim	1
80	Deodorante	1
80	NYJ	1
80	sufjanlover	1
80	Deathkob	1
80	PartyPhoenix	1
80	Meatlaugh	1
80	DarlaMeow	1
80	Soap_Bender	1
80	Quaintster	1
80	Freak_Genius	1
80	Templar_David	1
80	censorsheep	1
80	Frozil12	1
80	Xclax101	1
80	_czarny	1
80	Fildyr	1
80	Spacewardharpy7	1
80	Dusk_95	1
80	MasterNueve	1
80	IAmTheWalrus910	1
80	sp00ky_ghost977	1
80	Razzgriz	1
80	Nagasaki_Riku	1
80	yatsuta	1
80	Kowcio_	1
80	Kyrum2169	1
80	Kijiki	1
80	BlankityMcBlank	1
80	djancak	1
80	ediballbearings	1
80	stahouo	1
80	stellarjay	1
80	SammiWolfGirl	1
80	Luigipunch989	1
80	Poppy235	1
80	obzii	1
80	fffMike	1
80	_3Stump_	1
80	Hermanni__	1
80	Kubeusz2010	1
80	Erased_Identity	1
80	xorompole	1
80	Quotary	1
80	BreadBacon	1
80	smogfrog	1
80	Nicserso	1
80	Kiki_Majiki	1
80	TechnoNinja64	1
80	kinas45y5	1
80	Zoeyfortnite	1
80	Yahrto	1
80	Northernrabbit	1
80	JayToe	1
80	MelodyGaysharks	1
80	Tristankill	1
80	diggydog67	1
