rank	username	minecraft:crafted/minecraft:crafting_table
1	MilleGrug	8665
2	NameGenerat0r	338
3	Smoke____	317
4	noam464	296
5	EveryonesUncle	293
6	joethahobo	280
7	EcksD	266
8	OtariCharlie	253
9	Di_infiri	246
10	Spacewardharpy7	239
11	eitanzaki	236
12	pintsizedrogue	235
13	rarrq	231
14	thewindmillman	211
15	HellsSponge	209
16	EcksDofficial	191
17	burbankbuilder28	186
18	beeperbeeper5	185
19	Frozil12	172
20	Fullut	169
21	Mahoose	166
22	Enderslayerxz3	156
23	gabriels543	151
24	sebastiensaborio	150
25	m_be9	147
26	Blaiku	143
27	500am	140
28	kekhon	134
29	Legendosh	130
30	TheShyPig	128
31	YungMaki	122
32	Xclax101	118
33	Inchef	116
34	PigDab	106
35	Incinere	104
35	Winklepicker279	104
37	Skylord_Luke	100
38	Merv__	97
38	Bumpy419	97
40	stahouo	95
41	set67	94
41	Miko_Fullbuster	94
43	Blackberry1310	90
44	Hyp3rion_	88
45	Blu3beast	87
46	lordpipe	86
47	lcvezra	85
47	Skippeh	85
49	_Dean_123	84
50	12Magner05	83
51	Cocoamallows	81
51	oxfordschool	81
53	Jovaphobic	79
54	Groovy_MoonBird	78
54	ImpavidArcher	78
56	Tommhh	74
56	Racengan	74
58	Ezekson	73
59	MOSS000	72
59	TheSecondLord	72
59	Jackattack53	72
59	LordSpeed37	72
63	Akoot_	71
64	Steven1282598	70
65	KarlKaek	68
65	Werbe	68
67	Lord_Jord	67
67	AssEatrAndLicker	67
67	Eraxa	67
70	Kowcio_	65
71	ROY4LE	64
72	mwrty	63
72	Deathkob	63
72	2blox	63
75	thescout7	62
76	Sral7	61
77	Quaintster	60
77	pipejob	60
79	__tomato	59
80	EMC_	58
80	chipklip	58
82	ApophisNova	56
82	MyNamaSheff	56
84	T045RTY	55
84	Historical_Sand	55
84	RodSerlingCringe	55
84	diggydog67	55
88	claivin	54
89	gcaisawesome	52
89	Chromary	52
89	Onennon	52
89	kinas45y5	52
93	BlancoFlaco	51
93	_Karmaa	51
93	PortlyPete69	51
96	SuperPooch06	50
96	fluddd	50
98	xxPipperDipperxx	49
98	Rumpletaezer	49
98	SvenskaHugo	49
98	h2p_emrld	49
102	Luigipunch989	48
102	jnp_gaming	48
104	CHUUUBZZ_99	46
105	Soplight	45
106	bigstankyy	43
107	SaucyDark	42
108	BobDeBouwer1337	41
109	The_slideV3	40
109	Freak_Genius	40
109	Zoeyfortnite	40
112	Cowison	39
112	Arceus1975	39
112	Optiprimus	39
115	I_Am_Mushkin	38
115	Kakolbus	38
115	MightyWertu	38
118	PhantomsGhost_	37
118	teslawolf38	37
118	q_wq	37
118	diamondgolem35	37
118	MyNameIsDakar	37
118	WyngGoy	37
124	Tolhart	36
124	Xalithia	36
124	Hiryu27	36
124	Inbefour	36
124	djancak	36
129	RebelAndroid	35
129	bloodbiter	35
129	SlayerCrypto	35
129	Sky_light_KING	35
129	Fuhrer_Teemo	35
129	Shogunite	35
129	Hermanni__	35
136	Cortexia	34
136	FishyBoy3811	34
138	CharlieButt	33
138	fkGrim	33
138	Spenduh	33
138	Nicserso	33
142	livingdaydreams	32
142	Snowflowe	32
144	_Virify_	31
144	Drlzyy	31
144	6king6colt6	31
144	picardred	31
144	Zaridey	31
144	Groundler	31
144	Warlord324	31
144	Hisiste	31
144	fffMike	31
144	AltnumberF4	31
