rank	username	minecraft:crafted/minecraft:campfire
284	elicobnoah	4
284	teslawolf38	4
284	RebelAndroid	4
284	Ryker	4
284	Alteriity	4
284	Rox_The_Box	4
284	Prismyst	4
284	SpaceGrenadier	4
284	Prodiginus	4
284	Malorn_Aetherius	4
284	NieToksikpl	4
284	MinttyFressh	4
284	Awyrlas	4
284	Mariopreeet	4
284	r123moore	4
284	ReverendSmith	4
284	Windo_licker	4
