rank	username	minecraft:crafted/minecraft:orange_glazed_terracotta
1	eitanzaki	256
2	QuiCreans	255
3	lordpipe	220
4	ImpavidArcher	204
5	TheShyPig	162
6	Di_infiri	148
7	luseis	129
8	Spacewardharpy7	128
9	Hyp3rion_	84
10	Yamdalorian	79
11	YungMaki	74
12	Jackattack53	72
13	Blaiku	64
13	Jimb0nat0r	64
15	Kowcio_	60
16	kekhon	44
17	Legendosh	39
18	myaccountwasgone	36
18	Lez_	36
20	QueenShuvi	35
21	Bumpy419	32
22	PaperCanvas	31
23	Mahoose	26
24	Mr_Byzantine	24
24	Smashic	24
24	sp00ky_ghost977	24
24	Pumpkin_P_Patch	24
28	Sabby65	23
28	Steelynan	23
30	blackeemperor	21
31	j5ylim	12
31	beeperbeeper5	12
31	Krowuss	12
31	oscminus	12
31	lunkuku	12
31	mihimihimihi	12
31	hermmm_	12
31	ConnorDanky_	12
39	RatatJuice	10
39	Kubelz	10
41	royal_2	8
41	ROY4LE	8
41	AnnieBathory	8
41	ooga47	8
41	Inbefour	8
41	Gus2005	8
41	pixelviolin	8
48	AspenLightVT	6
49	CarltheCuck	4
50	Comma__	3
50	Buuck_	3
52	500am	2
53	Bandito_Roamer	1
53	thgrocks	1
53	ItsDeltaMC	1
53	EngagedGrub41	1
