rank	username	minecraft:crafted/minecraft:smooth_stone
1	TheShyPig	18795
2	EveryonesUncle	16556
3	Ze1ig	12563
4	Kakolbus	8929
5	500am	7385
6	FallenCorps	6358
7	Alteriity	5837
8	Frozil20	5444
9	Smoke____	5404
10	sp00ky_ghost977	4875
11	wezzzi	3582
12	NameGenerat0r	3461
13	Airem_Core	3159
14	ZeroKraken	3089
15	Strangemonkey71	2964
16	Comma__	2740
17	weabis	2629
18	DanTheBuilderino	2429
19	Fuhrer_Teemo	2407
20	Blackberry1310	2319
21	AlphaWolfPlaysMC	2266
22	MyNameIsJobo	2213
23	Dreamdbr14	2051
24	ApophisNova	2025
24	MyNamaSheff	2025
26	Xclax101	1932
27	Mr_Byzantine	1864
28	Skylord_Luke	1863
29	Njensen7	1834
30	Winklepicker279	1821
31	rarrq	1729
32	Lord_Jord	1637
33	teslawolf38	1586
34	joethahobo	1583
35	Inbefour	1495
36	Eraxa	1472
37	Cowison	1379
38	Neps1	1378
39	Tobinator_007	1329
40	malgosia14	1291
41	TheSecondLord	1255
42	anbbang	1252
43	Windo_licker	1216
44	JayToe	1210
45	ReflexCode	1181
46	Ze_BaronKrigler	1126
47	luseis	1114
48	EngagedGrub41	1095
49	Bandito_Roamer	1080
50	HellsSponge	1060
51	xxPipperDipperxx	1043
52	Touched_Bread	1014
53	ImpavidArcher	994
54	Arceus1975	968
55	Zedducius	960
55	mihimihimihi	960
57	TheSeismicDuck	929
58	Darkgon	878
58	Wolverine4302	878
60	6king6colt6	855
61	Shogunite	832
62	MNMann44	823
63	SingedBread	795
64	Stiar	790
65	r123moore	781
66	Hoid_the_Roamer	768
67	Nicky_H225	727
68	leaf26	704
69	Onennon	702
70	himak1	686
71	Malorn_Aetherius	672
72	Kferno	670
73	CueMix	640
74	jacxhadow	638
75	__Fanda__	633
76	PlasticOtari	630
77	ConnorDanky_	628
78	Zythose	627
79	burbankbuilder28	611
80	Kynigito	610
81	ThisUserIsStump	589
82	NLKBuilder	576
83	Hyp3rion_	575
84	Enderxz3	559
85	MunkaKris	536
86	BunkeredTree	529
87	_Karmaa	527
88	drunkeeez	526
89	Paintz	515
90	NatalieTW	512
90	mariominejedi	512
92	aldplaysmc	503
93	Vetral1	475
94	KingMatthew506	473
95	titanlax	463
96	YungMaki	452
97	theonlymagikarp	448
98	Reamdin	437
99	SHAOBADMAN	432
100	stellarjay	418
101	Groundler	411
102	Steelynan	407
103	SaintJosie	395
104	Meatlaugh	394
105	SaucyDark	384
106	ooga47	383
107	Racengan	376
108	Blaiku	368
109	_Dean_123	367
110	wobn	356
111	bigstankyy	349
112	Myszoaz	343
113	shdesolt	337
114	Blu3beast	335
115	avalan64	333
115	lordpipe	333
117	Hyugo	331
118	CoffeeNoir	330
118	Drewen24	330
120	kekhon	327
121	ROY4LE	321
122	AlexxO_o	320
122	Barlycorn	320
124	DC_XII	318
125	TableTim	316
126	Lutres_Torane	312
127	Historical_Sand	307
127	MovingFish7	307
129	StinkyDiplomat	305
130	Fuad_R	285
131	WyngGoy	278
132	noam464	276
133	toj__	271
133	Snowflowe	271
135	Kubelz	270
136	SvenskaHugo	264
137	_stets	262
137	slkiey	262
139	ReSynced	259
140	tsitrawhy	257
141	Werbe	256
141	Deguns123	256
143	alderban107	252
144	Paradoxion	251
145	ewsophie	250
145	JESS_THE_RERE	250
147	Sleek_Storm_721	246
148	ayamefag	241
149	platinumzero	229
150	PortlyPete69	227
151	TiborSterle	224
152	Kowcio_	218
153	LetsDoItLive	217
154	_Virify_	210
154	Maenara	210
156	ShedJr_	209
156	Fullut	209
158	Jovaphobic	208
158	Photosynthesis_s	208
160	Giannism	204
160	Zielo2017PL	204
162	Ecplosive	203
163	JohnPrice	200
164	Tolhart	199
165	censorsheep	196
166	shyshyannne	195
167	_darky1_	192
167	2Stout	192
167	gcaisawesome	192
167	Tyrannosplart	192
167	GravitySaint	192
172	TheWildMateo	180
173	Patwannabegamer	176
174	beeperbeeper5	175
175	MattieHD	170
176	SyK7	168
177	CrateOfBoxes	165
178	diamondgolem35	163
178	MakeHistory157	163
180	SyntheticSurgeon	159
181	Inchef	151
182	Ristebraaten	150
183	_Huge_Male_	149
183	Akoot_	149
185	BlueZabu	147
186	jessewegottacook	141
187	SmashingPump	139
188	jnp_gaming	136
189	Di_infiri	134
189	Quincannon	134
189	Fildyr	134
192	The11thDoctor	133
192	Hisiste	133
192	Legendosh	133
195	Burge_r	130
196	eitanzaki	129
196	_Bguette_	129
198	the_fireminer	128
198	Matek_	128
198	Quotary	128
201	The_slideV3	126
202	Smussa	125
203	peach0s	124
204	Da_Boss_Rani	123
204	BreadBacon	123
206	Typadopoulos	122
207	fluddd	121
208	Mahoose	118
208	12Magner05	118
210	Nicserso	116
211	wiqor	115
212	XboxPanda	114
212	Jimb0nat0r	114
214	Notta	112
215	Awyrlas	108
216	impossibleteapot	104
217	thewindmillman	103
218	KeruNatsema	100
219	handsome_strong	98
219	__tomato	98
221	Lez_	96
221	m_be9	96
221	Ardennes	96
221	Dusk_95	96
225	youhjjhhhjj	95
225	Otto_chan	95
225	SammiWolfGirl	95
228	MinttyFressh	94
229	ProfessorDiaper	91
229	CalebDHawk	91
231	TheDankPlatypus	90
231	Deathkob	90
233	xzvu	89
234	RobotMinion101	88
235	Cortexia	85
236	starbits140	84
237	Spacewardharpy7	82
238	jspwn	81
239	LeauVox4921	78
239	Toiton	78
241	RealGroot	77
242	Optiprimus	76
243	Jimi7hits	75
243	Kubeusz2010	75
245	Stynxy	72
245	TinMaster	72
245	BobDeBouwer1337	72
245	Bloo2406	72
245	xolstoi	72
250	BlancoFlaco	71
250	TechnoNinja64	71
252	Groovy_MoonBird	70
252	HesDemonPants	70
254	Merv__	69
255	Silenttieg	68
255	BlankityMcBlank	68
257	freeandrew	67
257	TooManyDuck	67
257	LilcoinXX	67
260	PhantomsGhost_	66
261	StanceTB	65
261	Mookle96	65
261	Skippeh	65
264	Krasnal1337	64
264	abramgray	64
264	RebelAndroid	64
264	SoftSix	64
264	Pelbo	64
264	SellyZ	64
264	pappaberg	64
264	NomadicRobin_	64
264	kyouma777	64
264	Eczbek	64
264	00000000-0000-0000-0009-01f570995a20	64
275	SuperPooch06	62
275	EcksD	62
277	ThePoliteG	61
278	Prismyst	60
278	cedric72	60
278	Winston_Ingram	60
281	theofiel	59
282	Prodiginus	58
282	VentiHilton	58
284	pintsizedrogue	57
284	Parcc	57
286	set67	55
286	ougstur	55
286	FlashMigma	55
286	CattSoup	55
290	RoskobiOne	54
290	Moofyman	54
290	RadarHz	54
290	JustinRee	54
294	SSytex_X	53
295	H0UNDFRMH3LL	52
295	ReverendSmith	52
297	soundad	50
297	GLLogan2	50
297	yulgur1	50
297	Soap_Bender	50
