rank	username	minecraft:crafted/minecraft:purple_shulker_box
1	thewindmillman	56
2	Hyp3rion_	35
2	jnp_gaming	35
4	pintsizedrogue	33
5	lordpipe	14
6	HellsSponge	13
7	mwrty	12
8	Akoot_	10
9	TheSecondLord	8
9	Smoke____	8
11	Awyrlas	7
12	Fullut	6
12	PlasticOtari	6
14	Mahoose	5
14	__Auspicious	5
14	sp00ky_ghost977	5
14	YungMaki	5
18	SaucyDark	4
18	Kowcio_	4
20	beeperbeeper5	3
20	kekhon	3
20	MattieHD	3
20	Bumpy419	3
20	Sky_light_KING	3
25	ExtraDumb	2
25	m_be9	2
25	500am	2
25	surfinggiraffejp	2
25	Zaridey	2
25	Ecplosive	2
25	Marbz_	2
25	cedric72	2
25	TheShyPig	2
25	Deathkob	2
25	lillips	2
25	NameGenerat0r	2
25	fluddd	2
25	pixelviolin	2
25	lcvezra	2
25	oxfordschool	2
25	Enderslayerxz3	2
25	TechnoNinja64	2
43	Jovaphobic	1
43	Bandito_Roamer	1
43	Paint	1
43	soundad	1
43	TooManyDuck	1
43	Hpdinosaur	1
43	livingdaydreams	1
43	joethahobo	1
43	Historical_Sand	1
43	FirsTimeGamingTV	1
43	Euclidoris	1
43	Shadoko_	1
43	titanlax	1
43	Malorn_Aetherius	1
43	Cryptacity	1
43	jushykins	1
43	12Magner05	1
43	emrekn	1
43	Xalithia	1
43	ROY4LE	1
43	SeverianTheLame	1
43	Rumpletaezer	1
43	Snowflowe	1
43	burbankbuilder28	1
43	King_Pancake1	1
43	ApophisNova	1
43	Fuhrer_Teemo	1
43	chipklip	1
43	DarlaMeow	1
43	claivin	1
43	Groundler	1
43	Hisiste	1
43	Spacewardharpy7	1
43	ElKaySVK	1
43	OG_Songsee	1
43	Cocoamallows	1
43	Eraxa	1
43	Fizznut909	1
43	GlitchyPlate810	1
43	Dogcorn69420	1
43	anbbang	1
43	Ezekson	1
43	EcksD	1
43	MyNamaSheff	1
43	HesDemonPants	1
