rank	username	minecraft:crafted/minecraft:green_stained_glass_pane
1	Werbe	2432
1	AssEatrAndLicker	2432
3	beeperbeeper5	2000
3	Nicserso	2000
5	TheShyPig	896
6	pintsizedrogue	400
7	Mahoose	320
8	ShedJr_	312
9	DTwenty	192
10	500am	168
11	lillips	160
12	Rumpletaezer	152
13	Onennon	144
14	EveryonesUncle	128
15	Groundler	112
16	Smoke____	96
17	lcvezra	80
17	Quotary	80
17	jnp_gaming	80
20	rarrq	64
20	Awyrlas	64
20	ROY4LE	64
23	Dedalus36	48
23	Chromary	48
23	El_Jalapeno	48
23	Blaiku	48
23	lordpipe	48
28	oxfordschool	40
29	SaucyDark	32
29	heckface	32
29	_Nuf	32
29	_Bguette_	32
29	sebastiensaborio	32
29	OnlyOfficial	32
35	Merv__	16
35	awesomeoneme	16
35	TheSecondLord	16
35	HellsSponge	16
35	NameGenerat0r	16
40	OtariCharlie	8
40	Freak_Genius	8
40	HesDemonPants	8
