rank	username	minecraft:crafted/minecraft:sandstone_stairs
1	Frozil12	5648
2	Steelynan	2700
3	joethahobo	868
4	eviltunix	788
5	tuckerdoodle	752
6	SteveCraftBlocks	684
7	Merv__	666
8	_stets	594
9	Kim_Jong_eel	564
10	Werbe	344
11	lOlmantschi	336
12	TheShyPig	332
13	ImpavidArcher	312
14	CACTUSLAD	311
15	Mahoose	282
16	kekhon	240
17	iHuntWeeaboos	228
18	Optiprimus	216
19	Swexti	192
20	The_slideV3	184
21	KarlKaek	180
22	loveseeker	172
23	r123moore	156
23	Nicserso	156
25	KingFaenor	144
26	TheMilkerOfCats	136
26	BodaciousCake	136
26	Babushka0430	136
29	12Magner05	132
30	EcksDofficial	115
31	Freak_Genius	112
32	Soplight	105
33	Arceus1975	104
34	Onennon	100
34	Meatlaugh	100
34	ReyTheLegend	100
37	Ajax6	96
38	Doom_melon	92
38	CrazyPotater	92
40	Inbefour	88
41	potato292	84
41	Kakolbus	84
43	El_Jalapeno	80
44	pintsizedrogue	79
45	Notta	72
45	Awyrlas	72
45	NameGenerat0r	72
45	Oxygen16	72
45	Smoke____	72
50	NNikitas	68
50	TheDumbHuman	68
50	Decaying_Lotus	68
53	SuperPooch06	64
53	Cocoamallows	64
55	Jiminie	58
56	John6970	52
56	ApophisNova	52
56	MyNamaSheff	52
59	nocturne78	48
59	MightyWertu	48
61	shineh10	44
61	Blackberry1310	44
61	YungJakobo	44
61	MinuteMira	44
65	peach0s	40
65	Rich_Kat	40
65	_Dean_123	40
65	Jackattack53	40
65	Bumpy419	40
65	SkyHighSkier	40
71	eitanzaki	36
72	Enderslayerxz3	34
73	andy_rex	32
73	epiksk8erduck	32
73	FGamerJ	32
76	Mr_Byzantine	28
76	TheMaster972	28
76	rarrq	28
76	JasmineGK	28
80	2Stout	24
81	beeperbeeper5	22
82	NotoriousNina	20
82	mads388a	20
82	thgrocks	20
82	Kyrum2169	20
82	Dreamdbr14	20
87	xXTheWolfmanXx	16
87	Fullut	16
87	GLLogan2	16
87	gabriels543	16
87	burbankbuilder28	16
87	SexcMf	16
87	Eraxa	16
87	cum_chalice	16
87	AltnumberF4	16
96	Inchef	15
97	SLASHZEERA	12
97	wobn	12
97	chipklip	12
97	fluddd	12
97	xX_Stalin69_Xx	12
97	Hermanni__	12
97	coobert42	12
104	PlasticOtari	10
105	Groovy_MoonBird	8
105	AuroraValkyrie	8
105	ShedJr_	8
105	Ssor69	8
105	SlayerCrypto	8
105	Felenov	8
105	_naturell	8
105	Xclax101	8
105	ProfessorDiaper	8
105	Vorlice	8
105	stellarjay	8
105	The_SlideV5	8
117	UCP_TheKingK	6
118	IWorkAtIkea	4
118	Kamflame10	4
118	NotMeanttoChange	4
118	Karetoko	4
118	CrateOfBoxes	4
118	SpouHn	4
118	LilcoinXX	4
118	starbits140	4
118	Sheldor097	4
118	TechnoNinja64	4
128	Stiar	2
