rank	username	minecraft:crafted/minecraft:bowl
1	bloodbiter	580
2	Werbe	428
2	Yamdalorian	428
4	Mahoose	348
5	Blackberry1310	312
6	tortfeezy	168
7	oscminus	140
8	xxPipperDipperxx	136
9	HellsSponge	128
10	Akoot_	124
11	beeperbeeper5	112
12	claivin	100
13	Kubelz	88
14	Shiirazu	72
15	cedric72	64
15	FreakGenius	64
15	Spacewardharpy7	64
15	Druid95	64
19	Onennon	56
20	Njensen7	52
21	censorsheep	48
22	kekhon	40
22	UncreativeArtist	40
22	cytotoxaint	40
25	KarlKaek	36
25	MinttyFressh	36
25	EveryonesUncle	36
25	Kubeusz2010	36
29	pintsizedrogue	32
29	Frozil20	32
29	thewindmillman	32
29	thgrocks	32
33	Lez_	28
33	Awyrlas	28
33	KingMatthew506	28
33	Sral7	28
37	djancak	24
38	_Razaria	20
38	Tiberonus	20
38	corpsecity	20
38	MinerDec	20
42	Bad_At_Names_Guy	16
42	PhantomBionic	16
42	rarrq	16
42	corvidpartyfor6	16
42	legal_tax_evader	16
42	babyjimmyneutron	16
48	gabukun_	12
48	_Dean_123	12
48	500am	12
48	TheShyPig	12
48	ougstur	12
48	Barlycorn	12
48	critNoxx	12
48	LetsDoItLive	12
48	Optiprimus	12
48	Dreamdbr14	12
58	Kowcio_	10
59	Jovaphobic	8
59	PhantomsGhost_	8
59	Sna_Ke	8
59	Natty	8
59	TheFlfthHorseman	8
59	royal_2	8
59	excelsionprime	8
59	mwrty	8
59	thescout7	8
59	PegLegPete93	8
59	Tenns	8
59	SharpDev	8
59	ROY4LE	8
59	ItzYaBoiPicard	8
59	noam464	8
59	mimbo1211	8
59	LunarRedPanda	8
59	Arceus1975	8
59	KillerNekoRain	8
59	tobinwilliams	8
59	PaperCanvas	8
59	Drewen24	8
59	Pootis11	8
59	XxCookiequeenxX	8
59	GigaSl	8
59	ebanana	8
59	Quaintster	8
59	Blu3beast	8
59	carpet4_69	8
59	Xclax101	8
59	marumochis	8
59	Eraxa	8
59	doublemaki	8
59	CLUBN2	8
59	ediballbearings	8
59	xzvu	8
59	smogfrog	8
59	Enderxz3	8
59	Jimb0nat0r	8
59	WYFYoyo	8
99	j4ck811	4
99	Batoser	4
99	Groovy_MoonBird	4
99	k_ce	4
99	No_Bena	4
99	Ninzyyy	4
99	dudcreeper	4
99	Ananas55	4
99	Ev0luti0nz	4
99	Paint	4
99	soundad	4
99	Napoleonpancake	4
99	hollowww	4
99	ECstardust	4
99	openatheclose	4
99	livingdaydreams	4
99	KomputerDude	4
99	Kronos42	4
99	MSK__	4
99	nocturne78	4
99	QuiCreans	4
99	FirsTimeGamingTV	4
99	Koffeeinz	4
99	Notta	4
99	updan	4
99	gilesmcriles	4
99	Cryptacity	4
99	ashetrays	4
99	m_be9	4
99	12Magner05	4
99	samtrid	4
99	TheRealGameBoy24	4
99	Cortexia	4
99	_Nuf	4
99	Scattman_	4
99	Fullut	4
99	TerraVl	4
99	_witch_craft_	4
99	Inchef	4
99	DSYisDizzy	4
99	ciemacigans	4
99	SpicyMeatballs	4
99	ouija_	4
99	xFaiithyX	4
99	shadowthemonkey	4
99	ImDisconnected_	4
99	mariominejedi	4
99	Windo_licker	4
99	TakeThis2UrGrave	4
99	Jackattack53	4
99	SuperPooch06	4
99	mick407	4
99	F_22_	4
99	WET_WET_WET	4
99	Reneedium	4
99	Fast_Turtle	4
99	Skylord_Luke	4
99	luvRust	4
99	Chuvacevedo	4
99	bee_gorl	4
99	F_Uhre	4
99	skelctal	4
99	_Cloverbelle_	4
99	Project_MKBRD	4
99	Shavrin	4
99	0jona0	4
99	Natalesbian	4
99	Benjii05	4
99	mushroomgirl101	4
99	AuroraSkies	4
99	LibertyMutual	4
99	EdGalbraith	4
99	Inbefour	4
99	luseis	4
99	JESS_THE_RERE	4
99	Manaateee	4
99	Fuad_R	4
99	E775	4
99	El_Jalapeno	4
99	GravitySaint	4
99	SingedBread	4
99	LokisCharredFace	4
99	Toriankel	4
99	Fillapulated	4
99	xyfrs	4
99	AvaRosey	4
99	IAmTheWalrus910	4
99	sp00ky_ghost977	4
99	Faithhfully	4
99	Decaying_Lotus	4
99	MelaninStealer	4
99	pixelviolin	4
99	VillagerHuh	4
99	Lightfulwolf	4
99	miramyu	4
99	RaxXEe	4
99	Celeste_121	4
99	PortlyPete69	4
99	OkguyDan	4
99	Western_1	4
99	Coolblubird	4
99	alanbleachdemon	4
99	CalebDHawk	4
99	CalvinCandie17	4
99	FedirSpectator	4
99	Ezekson	4
99	FelixPSY375	4
99	jnp_gaming	4
99	es0th	4
99	calamariclam_I	4
99	CrazyPotater	4
99	Freedrik	4
