rank	username	minecraft:crafted/minecraft:glass
226	Cortexia	630
227	tobinwilliams	602
228	FirsTimeGamingTV	600
229	ApophisNova	597
229	MyNamaSheff	597
231	SaucyDark	596
231	tsitrawhy	596
233	00000000-0000-0000-0009-01ff0c3e5e4f	592
234	Hpdinosaur	588
235	chimpmunker	583
236	Notta	576
236	Dan_Scha	576
236	DTwenty	576
236	Razzgriz	576
240	MSK__	575
241	Hiryu27	573
242	UncreativeArtist	564
243	MunkaKris	559
244	Houstonion	556
245	DSYisDizzy	544
246	Iagoku	543
247	r123moore	540
248	teslawolf38	535
249	Ryker	520
249	DarkFisto	520
251	AuroraSkies	517
252	6king6colt6	515
253	SpookyDraggin	512
253	Strangemonkey71	512
255	RatatJuice	510
255	Skippeh	510
257	SUN_DREAM	506
258	LordSpeed37	504
259	radioactv_jelly	503
260	KarlKaek	490
260	KnightmareD	490
262	Toriankel	485
263	Inchef	483
264	bigstankyy	474
265	Jalvajar	473
265	dimondking777	473
267	VentiHilton	471
268	BodaciousCake	468
268	StinkyDiplomat	468
270	surfinggiraffejp	467
271	Frxnkz	465
272	CharlieButt	456
273	Sleek_Storm_721	454
274	Lutres_Torane	452
275	_stets	447
276	SuperPooch06	442
277	PhantomsGhost_	440
277	RadarHz	440
279	NarwhalTaco	438
280	Zoeyfortnite	431
281	MangoTheFish	429
281	Eczbek	429
283	I_Am_Mushkin	427
284	Lez_	424
285	fade_emerge78823	421
286	Dogcorn69420	415
287	SyntheticSurgeon	413
287	m_be9	413
287	__tomato	413
290	Ze1ig	412
291	tuckerdoodle	409
292	Cowison	408
293	Da_Boss_Rani	402
293	UltraZombie	402
295	Meatlaugh	401
295	DarkLawD	401
297	Optiprimus	398
298	Malorn_Aetherius	396
299	Miko_Fullbuster	390
300	Legendosh	388
