rank	username	minecraft:crafted/minecraft:light_gray_stained_glass
1	Hyp3rion_	17344
2	Blaiku	15112
3	joethahobo	14464
4	mwrty	6344
5	lordpipe	5744
6	Inbefour	4488
7	Mattesco	4072
8	Snowflowe	3568
9	ImpavidArcher	2640
10	Winklepicker279	2608
11	Jackattack53	2536
12	TheSecondLord	2408
13	thewindmillman	2184
14	eitanzaki	2112
15	EngagedGrub41	1880
16	MilleGrug	1536
17	Legendosh	1424
18	Enderxz3	1176
19	Kakolbus	1080
20	PlasticOtari	816
21	beeperbeeper5	792
22	MixerDixer	768
23	Groundler	760
24	TheShyPig	728
25	500am	712
26	Merv__	696
27	Mahoose	656
28	Kowcio_	640
29	Alteriity	600
30	jacxhadow	576
30	Marbz_	576
30	iSammael	576
33	h2p_emrld	528
34	MattieHD	512
34	shadowthemonkey	512
34	Di_infiri	512
34	SingedBread	512
34	MakeHistory157	512
39	EMC_	480
40	Lord_Jord	476
41	King_Pancake1	432
42	AdmiralSmoke	408
43	Quotary	376
44	The_SlideV5	352
45	M_Patata	312
46	MasterNueve	296
46	xolstoi	296
48	Tyrannosplart	256
49	Historical_Sand	240
50	pintsizedrogue	216
51	The_slideV3	200
51	ZoomieZoomie	200
53	PazinGaming	192
54	XxCookiequeenxX	184
55	Hermanni__	168
56	oreee	160
56	noam464	160
58	Bandito_Roamer	152
58	m_be9	152
58	Rumpletaezer	152
58	Spacewardharpy7	152
62	LeauVox4921	136
62	Rebytre	136
64	ProfessorBee	128
64	NotMeanttoChange	128
64	Manaateee	128
64	Eraxa	128
64	pixelviolin	128
64	jnp_gaming	128
64	Sral7	128
71	BlancoFlaco	112
71	ImDisconnected_	112
73	Mr_Byzantine	80
73	Fullut	80
75	Wowful	72
76	Incinere	64
76	Malorn_Aetherius	64
76	Notta	64
76	pappaberg	64
76	IamCL4SSY	64
76	wezzzi	64
76	__tomato	64
83	titanlax	56
83	StinkyDiplomat	56
83	Skippeh	56
83	OfficerAnvil	56
87	ProbablyNick	48
87	Steelynan	48
89	ECstardust	40
89	Lez_	40
89	Da_Boss_Rani	40
89	Arceus1975	40
89	luseis	40
89	EcksD	40
95	Frozil20	32
95	Donutt	32
95	TruestTurnip	32
95	MangoSalad316	32
95	El_Jalapeno	32
95	ConnorDanky_	32
101	rarrq	24
101	Blackberry1310	24
101	eiC_	24
101	MyNameIsJobo	24
101	lillips	24
101	MAns_44	24
101	Soplight	24
101	Jimb0nat0r	24
101	00000000-0000-0000-0009-01ff0c3e5e4f	24
110	Groovy_MoonBird	16
110	Inchef	16
110	yheece	16
110	Chromary	16
110	lcvezra	16
110	SammiWolfGirl	16
116	HellsSponge	12
117	AuroraValkyrie	8
117	6king6colt6	8
117	Hpdinosaur	8
117	bbrothers_5	8
117	CliffEmAll	8
117	Smashic	8
117	xxPipperDipperxx	8
117	MonitorLizards	8
117	Maenara	8
117	LeonelSalamanca	8
117	Deathkob	8
117	fluddd	8
117	sp00ky_ghost977	8
117	TechnoNinja64	8
