rank	username	minecraft:broken/minecraft:netherite_helmet
1	Di_infiri	4
2	noam464	3
3	12Magner05	2
3	set67	2
3	Inchef	2
3	Chromary	2
3	FreakGenius	2
8	JohnnyFyes	1
8	eitanzaki	1
8	Lazy_geniusig	1
8	Lez_	1
8	beeperbeeper5	1
8	kekhon	1
8	Kkanot	1
8	lorpus	1
8	craaaash	1
8	Jackattack53	1
8	Krowuss	1
8	Luminad3	1
8	Lord_Jord	1
8	masskedman	1
8	emreknugrlu	1
8	Racengan	1
8	_Ruzeeq_	1
8	StarCookiees_	1
8	Kowcio_	1
8	TheKingK_	1
8	Enderxz3	1
8	HesDemonPants	1
8	PlasticOtari	1
8	00000000-0000-0000-0009-01fe065167f0	1
