rank	username	minecraft:broken/minecraft:stone_hoe
1	LordAurum	57
2	kekhon	21
3	TechnoNinja64	11
4	EngagedGrub41	10
5	CrookedKaptain	9
6	El_Jalapeno	8
7	luseis	7
7	Tiktola01	7
9	Prodiginus	6
9	Ravenbie	6
9	SvenskaSara	6
12	CoffeeNoir	5
12	Cortexia	5
12	RyuNeko932000	5
12	nut_e	5
12	_Cloverbelle_	5
17	Kamflame10	4
17	TheShyPig	4
17	rotten_mango	4
17	nonarso	4
17	Paguz01	4
17	PlasticOtari	4
23	awesomeweasel	3
23	tortillatitan	3
23	Kryktal	3
23	IamCL4SSY	3
23	Katsuragi0243218	3
23	KlausVonStiglitz	3
23	FreakGenius	3
23	Warlord324	3
23	sp00ky_ghost977	3
23	NebulousBadger	3
23	LordSpeed37	3
23	Jimb0nat0r	3
23	calamariclam_I	3
36	pintsizedrogue	2
36	Mr_Byzantine	2
36	Paint	2
36	not_a_duck_23	2
36	KingFaenor	2
36	6king6colt6	2
36	bigstankyy	2
36	Ryker	2
36	youhjjhhhjj	2
36	TheThomas69	2
36	SteveCraftBlocks	2
36	Smashic	2
36	sandmire	2
36	LitoDelvito	2
36	HoltGrim	2
36	CharlieButt	2
36	BigMoneyH	2
36	Di_infiri	2
36	Snowflowe	2
36	NarwhalTaco	2
36	Fast_Turtle	2
36	Onennon	2
36	Dan_Scha	2
36	natajimi	2
36	_Karmaa	2
36	ReflexCode	2
36	Methalox1	2
36	Shadow4381	2
36	YungMaki	2
36	SammiWolfGirl	2
36	mawileite	2
36	smogfrog	2
36	QueenOfDirt	2
36	jnp_gaming	2
36	Powowowow	2
36	xolstoi	2
72	Alexanderjac	1
72	Lepthymo	1
72	soundad	1
72	ImNotYuqii	1
72	ExtraDumb	1
72	ssleepless	1
72	openatheclose	1
72	maliraspberry	1
72	ZaneABrain	1
72	TAKrules	1
72	Huwulling	1
72	Mahoose	1
72	ITDV	1
72	TastyPorkchop	1
72	Atroxes	1
72	QuiCreans	1
72	ChampPog_	1
72	titanlax	1
72	shdesolt	1
72	bloodbiter	1
72	Megarboh	1
72	500am	1
72	AngalexikCZ	1
72	Bobby808	1
72	himak1	1
72	LavenderBi1ch	1
72	SPUDonSTEROIDS	1
72	r123moore	1
72	noam464	1
72	M_Patata	1
72	Kakolbus	1
72	toj__	1
72	Orcus113	1
72	MyNameIsJobo	1
72	Jackattack53	1
72	Rumpletaezer	1
72	thewindmillman	1
72	fenkuu	1
72	Zythose	1
72	Studyhallsaver	1
72	KillerNekoRain	1
72	dendydoom	1
72	The_Fulgurator	1
72	MustardDrinker	1
72	CaptainDeadBread	1
72	ItsAki_	1
72	JustAWill_	1
72	Sharkbyte0	1
72	Moofyman	1
72	Cattoh	1
72	PaperCanvas	1
72	CarryLine	1
72	thgrocks	1
72	LilLizardWizard	1
72	Kim_Jong_eel	1
72	Ajax6	1
72	Akoot_	1
72	Pootis11	1
72	Fakiuss	1
72	AuroraSkies	1
72	420BreadLizard	1
72	masskedman	1
72	Gryglu583	1
72	kiluaemc	1
72	avalan64	1
72	ori0le	1
72	Lutres_	1
72	Darkgon	1
72	Quincannon	1
72	kalzor	1
72	MustaLoordi	1
72	Nycteus_	1
72	censorsheep	1
72	ComplexSquirrel	1
72	Factoroni	1
72	SUN_DREAM	1
72	MasterNueve	1
72	bruh072	1
72	Soul_Atreus	1
72	Eon_57	1
72	FadedSpade82	1
72	ReyTheLegend	1
72	VillagerHuh	1
72	starbits140	1
72	Soplight	1
72	Juh1s	1
72	non089	1
72	PortlyPete69	1
72	Deguns123	1
72	Invintic	1
72	FormulaNewt3627	1
72	youarefrench_	1
72	Ezekson	1
72	RadarHz	1
72	Legendosh	1
72	momis24	1
72	Zoeyfortnite	1
72	trexgb	1
72	JayToe	1
72	IronicUwU1	1
