rank	username	minecraft:broken/minecraft:golden_shovel
1	fffMike	23
2	2Stout	10
3	Tommhh	6
4	picardred	5
4	cedric72	5
6	Euclidoris	3
6	IdeallyGrey	3
6	xolstoi	3
9	Mr_Byzantine	2
9	EkkoTraveler	2
9	BoraMC	2
9	Reamdin	2
9	QueenShuvi	2
9	560cool	2
9	sadvavilloso	2
9	Teebone15	2
17	Gemstuff	1
17	Lez_	1
17	Khelvoryk	1
17	John_Acacia	1
17	Frxnkz	1
17	jacxhadow	1
17	12Magner05	1
17	Cellcorgi649	1
17	noam464	1
17	Winklepicker279	1
17	SuperPooch06	1
17	wilgot_	1
17	IamCL4SSY	1
17	bpmm	1
17	aldplaysmc	1
17	FreakGenius	1
17	Nycteus_	1
17	lcvezra	1
17	SammiWolfGirl	1
17	cichy096	1
17	Enderxz3	1
17	Smoke____	1
