rank	username	minecraft:broken/minecraft:shield
1	monky_irl	13
2	jacxhadow	9
2	Hahaa_0	9
2	SkateboardR6	9
2	djancak	9
6	k_ce	8
7	Nach0Bear	7
8	excelsionprime	6
8	M_Patata	6
8	ZeroAbyssTTV	6
8	Xclax101	6
8	MasterNueve	6
13	Mr_Byzantine	5
13	fanofbands101	5
13	gren_ben	5
13	TheSecondLord	5
13	RebytreGT	5
13	Decaying_Lotus	5
19	6king6colt6	4
19	ExtraDumb	4
19	lotarp	4
19	Mahoose	4
19	breadbowlgamer	4
19	StarCookiees_	4
25	Jalvajar	3
25	hm947	3
25	Timfinity4	3
25	Xalithia	3
25	Kubelz	3
25	The11thDoctor	3
25	ooga47	3
25	Deathkob	3
25	Blaiku	3
25	FadedSpade82	3
25	Pumpkin_P_Patch	3
25	alanbleachdemon	3
25	RadarHz	3
38	lunaticusx	2
38	Bandito_Roamer	2
38	Paint	2
38	BlancoFlaco	2
38	Killercatty78	2
38	Flores991	2
38	SOA1RR	2
38	MSK__	2
38	cyuar	2
38	beeperbeeper5	2
38	TheFlfthHorseman	2
38	Saucepeh	2
38	Auseawesome	2
38	Flapjacker687	2
38	orxngejuice	2
38	noam464	2
38	trixterrx	2
38	burbankbuilder28	2
38	U_Mos_	2
38	Reneedium	2
38	thebaddruid	2
38	HAIRYCLOUD626	2
38	Samificator	2
38	Luminad3	2
38	Leyna3	2
38	Kennyissleepy	2
38	Meatlaugh	2
38	AstreaTSS	2
38	DanTheBuilderino	2
38	FreakGenius	2
38	_Meow_Mix	2
38	Ze_BaronKrigler	2
38	Razzgriz	2
38	33sudo	2
38	pixelviolin	2
38	Kowcio_	2
38	xzvu	2
38	Celeste_121	2
38	Invintic	2
38	MusicMe1005	2
38	2blox_	2
38	Zoeyfortnite	2
38	coobert42	2
38	00000000-0000-0000-0009-01ff0c3e5e4f	2
82	SaltineDream	1
82	H0UNDFRMH3LL	1
82	SugarMyNuggets	1
82	xExpresso	1
82	pintsizedrogue	1
82	Groovy_MoonBird	1
82	ProbablyNick	1
82	Mowelan	1
82	xyct	1
82	CloroxBleach385	1
82	dabloons	1
82	Napoleonpancake	1
82	Niklas20114552	1
82	q_wq	1
82	chimpmunker	1
82	Hyugo	1
82	Ryan_GEMS	1
82	Tolhart	1
82	Hpdinosaur	1
82	Incinere	1
82	Ryker	1
82	abdomera	1
82	CoffeeNoir	1
82	MLG_Kirby69	1
82	IgnoredBee	1
82	Sleepy_Time_	1
82	ccormacs	1
82	gabukun_	1
82	Ozixar	1
82	_vlex	1
82	Hydro___________	1
82	mattybeewrapss	1
82	Jakobo1337	1
82	12Magner05	1
82	_HoneySlime_	1
82	Aatronix	1
82	Guillemet	1
82	_Dean_123	1
82	500am	1
82	squillz105	1
82	Z3braYTIL	1
82	Kamflame	1
82	Cambo5000	1
82	set67	1
82	paranoid_plant	1
82	lorpus	1
82	Dali1465	1
82	_Magdo_	1
82	emrekn	1
82	ItsRyanM8	1
82	Touched_Bread	1
82	HoltGrim	1
82	CharlieButt	1
82	mimbo1211	1
82	TableTim	1
82	MyNameIsJobo	1
82	SuperPooch06	1
82	Armattillo	1
82	impossibleteapot	1
82	Fast_Turtle	1
82	Parcc	1
82	MustardDrinker	1
82	DadWorksForSega	1
82	TheWildMateo	1
82	bee_gorl	1
82	Kouridragon	1
82	F_Uhre	1
82	spellmre	1
82	XeroByMyth	1
82	FishyBoy3811	1
82	DrProfAwesome	1
82	KliBeast21	1
82	parodypatient	1
82	Lord_Jord	1
82	Bl1tzFX	1
82	420BreadLizard	1
82	ReSynced	1
82	Joestra	1
82	Gryglu583	1
82	aldplaysmc	1
82	NoChumpChange	1
82	Meepcraft	1
82	Syropatathe	1
82	rotten_mango	1
82	KlausVonStiglitz	1
82	SolicitedPuma101	1
82	Tyrannosplart	1
82	Fuad_R	1
82	shrimp_flips	1
82	Avocadogerms	1
82	BigCronkin	1
82	QueenShuvi	1
82	skelecorebot	1
82	SingedBread	1
82	MS_Pryxx	1
82	Hisiste	1
82	Vicemaniac	1
82	ItsDeltaMC	1
82	Cocoamallows	1
82	ayamefag	1
82	TheEnderMan548	1
82	MustardSquid	1
82	Kijiki	1
82	BlankityMcBlank	1
82	__tomato	1
82	brofrickcheaters	1
82	Chuglyfe	1
82	LeEricc	1
82	PortlyPete69	1
82	NATE_the_HALO	1
82	xof_on_microwave	1
82	Moetis	1
82	CalebDHawk	1
82	fffMike	1
82	Catharsist	1
82	nonarso	1
82	AppleJacks	1
82	MilleGrug	1
82	Steelynan	1
82	TheBananaKat	1
82	smogfrog	1
82	Nicserso	1
82	little_dUki	1
82	momis24	1
82	Kiki_Majiki	1
82	Paguz01	1
82	annebolyn	1
82	CrazyPotater	1
82	Teebone15	1
82	h2p_emrld	1
82	TheWickedBird	1
82	00000000-0000-0000-0009-01fc3bb26159	1
