rank	username	minecraft:broken/minecraft:golden_pickaxe
1	Erased_Identity	10
1	jnp_gaming	10
3	MyNameIsJobo	9
4	Blaiku	8
5	Fullut	4
5	mariominejedi	4
5	sea_otter_h	4
8	Mr_Byzantine	3
8	Kubelz	3
8	Waffleman258	3
11	fanofbands101	2
11	Creativebuilder2	2
11	eitanzaki	2
11	Dogbound	2
11	noam464	2
11	Chuvacevedo	2
11	Mattesco	2
11	cedric72	2
11	PartyPhoenix	2
11	Methalox1	2
11	markaus77	2
11	MilleGrug	2
23	SugarMyNuggets	1
23	BUBBA_KHAN	1
23	_Virify_	1
23	PhantomsGhost_	1
23	Gemstuff	1
23	gren_ben	1
23	NinjaKnifeKill	1
23	TheFlfthHorseman	1
23	Khelvoryk	1
23	firesgal3116	1
23	jacxhadow	1
23	kekhon	1
23	GingerNeutron	1
23	Tmb1	1
23	mwrty	1
23	ROY4LE	1
23	VanJosh	1
23	CharlieButt	1
23	SuperPooch06	1
23	yaboo88	1
23	ormr_kin	1
23	Cattoh	1
23	YahooScreen9000	1
23	Goat_Curdle	1
23	H_O_M_H	1
23	masskedman	1
23	MinuteMira	1
23	Darkgon	1
23	claivin	1
23	Nycteus_	1
23	freya__b	1
23	Toriankel	1
23	UCP_TheKingK	1
23	RealGroot	1
23	Chuglyfe	1
23	Poppy235	1
23	TheALV	1
23	KingMatthew506	1
23	RadarHz	1
23	JasmineGK	1
23	Jimb0nat0r	1
23	Smoke____	1
23	00000000-0000-0000-0009-01ff0c3e5e4f	1
