rank	username	minecraft:broken/minecraft:golden_boots
1	MyNameIsJobo	10
1	El_Jalapeno	10
3	Deathkob	9
4	T045RTY	7
4	SuperPooch06	7
6	noam464	5
6	Akoot_	5
8	Ssor69	4
8	himak1	4
8	Jackattack53	4
8	MyNameIsDakar	4
8	Mistruth	4
8	SammiWolfGirl	4
8	CalebDHawk	4
8	Smoke____	4
16	soundad	3
16	ivorico	3
16	Mahoose	3
16	TheSecondLord	3
16	Kakolbus	3
16	Joestra	3
16	Freak_Genius	3
16	Kubeusz2010	3
16	diggydog67	3
25	Groovy_MoonBird	2
25	BlancoFlaco	2
25	RebelAndroid	2
25	youhjjhhhjj	2
25	Blackberry1310	2
25	Cryptacity	2
25	jacxhadow	2
25	bloodbiter	2
25	Awyrlas	2
25	Xalithia	2
25	gcaisawesome	2
25	whoaluv	2
25	BronkerBrum	2
25	PigDab	2
25	AlphaWolfPlaysMC	2
25	NomadicRobin_	2
25	Blu3beast	2
25	NebulousBadger	2
25	kyouma777	2
25	a_smol_bean	2
25	Miko_Fullbuster	2
25	Quotary	2
25	h2p_emrld	2
48	SKYPEX_	1
48	LittleBug562	1
48	pZygh0st	1
48	Mocha_Mug	1
48	AshleeCW	1
48	jpoxman	1
48	chimpmunker	1
48	bigstankyy	1
48	Kegradigm	1
48	ImpavidArcher	1
48	SaucyDark	1
48	eitanzaki	1
48	livingdaydreams	1
48	Batman922	1
48	Natty	1
48	KomputerDude	1
48	Reamdin	1
48	H72l9w	1
48	Whiterooster001	1
48	featherflyy	1
48	dopplexd	1
48	titanlax	1
48	ratglock	1
48	shdesolt	1
48	tortillatitan	1
48	Adlair	1
48	m_be9	1
48	BilboBaggins23	1
48	Kkanot	1
48	switchNat	1
48	Laykon	1
48	egglapras	1
48	Dali1465	1
48	Paintz	1
48	IceYoung	1
48	Kubelz	1
48	platinumzero	1
48	benediktine1	1
48	pumpfonzo	1
48	M_Patata	1
48	FennYuzuna	1
48	trixterrx	1
48	ReverendSmith	1
48	mariominejedi	1
48	Giannism	1
48	Ristebraaten	1
48	loveseeker	1
48	jedi_george	1
48	Rumpletaezer	1
48	happy_mileo	1
48	burbankbuilder28	1
48	BusinesManFrecks	1
48	RyuNeko932000	1
48	WarMachina	1
48	MustardDrinker	1
48	DebbieBrunswick	1
48	Oragious	1
48	jewbacaman	1
48	aec9	1
48	Nicky19	1
48	Lord_Jord	1
48	Negriuke	1
48	ogoa	1
48	XxCookiequeenxX	1
48	Living_Storms	1
48	_Bguette_	1
48	Dynamax	1
48	HELLO_I_AM_BEAR	1
48	n0qtrnL	1
48	ebanana	1
48	Bismarck_KMS	1
48	DarlaMeow	1
48	HellsSponge	1
48	ewpunk	1
48	Quaintster	1
48	Steven1282598	1
48	RedcatVII	1
48	Racengan	1
48	SingedBread	1
48	VilsSwag	1
48	lolpoottoot	1
48	NotMeowMix	1
48	HeyGoat	1
48	_Ruzeeq_	1
48	MasterNueve	1
48	33sudo	1
48	Nagasaki_Riku	1
48	LordSpeed37	1
48	sleepdrifter_	1
48	IdeallyGrey	1
48	Kowcio_	1
48	YungMaki	1
48	MineMaster0012	1
48	BlankityMcBlank	1
48	Nekomin0	1
48	Luigipunch989	1
48	Poppy235	1
48	GlitchyPlate810	1
48	obzii	1
48	Drawgirll	1
48	Soffbord	1
48	Hermanni__	1
48	TrollerYT	1
48	mobunni	1
48	Skippeh	1
48	anbbang	1
48	oxfordschool	1
48	EcksD	1
48	RadarHz	1
48	Wolverine4302	1
48	blackmage426	1
48	QueenOfDirt	1
48	Lowjinx	1
48	Enderslayerxz3	1
48	momis24	1
48	Powowowow	1
48	TechnoNinja64	1
48	PlasticOtari	1
48	kinas45y5	1
48	aao001	1
48	MelodyGaysharks	1
48	561cool	1
