rank	username	minecraft:broken/minecraft:iron_chestplate
64	Nach0Bear	1
64	Dali1465	1
64	hijeatsdirt	1
64	orxngejuice	1
64	intropass	1
64	2Stout	1
64	NoxxxxiS	1
64	Kubelz	1
64	brrh	1
64	benediktine1	1
64	drunkeeez	1
64	Avrelion	1
64	TableTim	1
64	faulder	1
64	Bazongoman	1
64	Giannism	1
64	legal_tax_evader	1
64	ElementalHeroGJH	1
64	valiSW	1
64	MyNameIsJobo	1
64	Chromary	1
64	thewindmillman	1
64	Snowflowe	1
64	Zythose	1
64	DaviusMaximoose	1
64	Nyxiom_	1
64	Boipl	1
64	RyuNeko932000	1
64	WarMachina	1
64	GildedRemnant	1
64	SvenskaSara	1
64	Rebytre	1
64	Hiryu27	1
64	Felenov	1
64	Inconvenionce	1
64	Moofyman	1
64	epiksk8erduck	1
64	Nadhorion	1
64	jewbacaman	1
64	Cattoh	1
64	Drewen24	1
64	Leyna3	1
64	KliBeast21	1
64	ILoveCarrot	1
64	wezzzi	1
64	420BreadLizard	1
64	Joestra	1
64	yulgur1	1
64	natajimi	1
64	TheSeismicDuck	1
64	masskedman	1
64	NoChumpChange	1
64	Meepcraft	1
64	XxCookiequeenxX	1
64	Syropatathe	1
64	avalan64	1
64	jambvds	1
64	balin55	1
64	Tyrannosplart	1
64	handsome_strong	1
64	DemTechAlpha	1
64	jacobsoy	1
64	Avocadogerms	1
64	Paul_Katan	1
64	ewpunk	1
64	Deerfoot	1
64	Jamstroxian	1
64	marumochis	1
64	LuisCarreroBla	1
64	Racengan	1
64	BumbleBeever	1
64	ChronoSounds	1
64	halfbakedlasagna	1
64	wwwwinnebagoooo	1
64	SkateboardR6	1
64	mihimihimihi	1
64	SUN_DREAM	1
64	_Ruzeeq_	1
64	AvaRosey	1
64	Smiguli_	1
64	CornOnTheCobalt	1
64	sp00ky_ghost977	1
64	CacheOut	1
64	ZeaBaron	1
64	layabout100	1
64	Kura2218	1
64	bobbydoodledot	1
64	Thunder_bird4337	1
64	Eraxa	1
64	Decaying_Lotus	1
64	Shin69	1
64	SvenskaHugo	1
64	Kowcio_	1
64	bloomkieren	1
64	Kijiki	1
64	BlankityMcBlank	1
64	starbits140	1
64	Soplight	1
64	MC_Skribble	1
64	jaimshae	1
64	xzvu	1
64	stellarjay	1
64	Nekomin0	1
64	_TCARREIRA_	1
64	infiniteQuery	1
64	Luigipunch989	1
64	non089	1
64	Heisenbberrg	1
64	knuxify	1
64	obzii	1
64	robonya_	1
64	alanbleachdemon	1
64	Deguns123	1
64	Moetis	1
64	Nargotah	1
64	mawileite	1
64	Steelynan	1
