rank	username	minecraft:broken/minecraft:diamond_pickaxe
1	gcaisawesome	90
2	Di_infiri	57
3	HellsSponge	49
4	cedric72	47
5	RebelAndroid	32
6	vandmanden	30
7	noam464	29
8	Miko_Fullbuster	22
9	Steelynan	21
10	Franco093	20
11	Skylord_Luke	16
12	eviltunix	15
12	Zaridey	15
14	pintsizedrogue	12
15	Dedalus36	10
15	EcksD	10
15	Smoke____	10
18	Kubelz	9
19	Groovy_MoonBird	8
19	burbankbuilder28	8
19	MyNameIsDakar	8
19	FelixPSY375	8
23	12Magner05	7
23	zorin123	7
23	Rumpletaezer	7
23	Spacewardharpy7	7
27	Alexanderjac	6
27	Menthas	6
27	picardred	6
27	Werbe	6
27	NoChumpChange	6
27	El_Jalapeno	6
27	Warlord324	6
27	lordpipe	6
27	YungMaki	6
36	ProfessorBee	5
36	ROY4LE	5
36	Kakolbus	5
36	dedgt	5
36	AnnieBathory	5
36	PigDab	5
36	Meatlaugh	5
36	Blu3beast	5
36	BumbleBeever	5
36	Njensen7	5
36	Hermanni__	5
36	Nicserso	5
36	Kateesaur	5
49	SyK7	4
49	Houstonion	4
49	ewsophie	4
49	InfernalMound	4
49	m_be9	4
49	500am	4
49	thescout7	4
49	Paintz	4
49	mimbo1211	4
49	PeteO1995	4
49	SuperPooch06	4
49	sammidk	4
49	AlphaWolfPlaysMC	4
49	Nycteus_	4
49	Xclax101	4
49	Toriankel	4
49	SUN_DREAM	4
49	Skippeh	4
49	MeetTheWollo	4
68	BigBootyHudge	3
68	TheMilkerOfCats	3
68	eitanzaki	3
68	Malorn_Aetherius	3
68	Notta	3
68	Comma__	3
68	ImDisconnected_	3
68	SokaOtaku	3
68	nut_e	3
68	DanielMmm	3
68	Inbefour	3
68	lillips	3
68	chipklip	3
68	GoofyBread	3
68	Deerfoot	3
68	OreoPenguin_	3
68	Frozil12	3
68	cringenaynaybaby	3
68	Barlycorn	3
68	Hisiste	3
68	radioactv_jelly	3
68	Lord_Doob	3
68	Cocoamallows	3
68	NebulousBadger	3
68	hdtpm	3
68	BlankityMcBlank	3
68	SSytex_X	3
68	_Yonk_	3
68	HAruSAme14	3
68	Rainaldus	3
68	MissCeleste7	3
68	AltnumberF4	3
100	Jovaphobic	2
100	RoskobiOne	2
100	Sleek_Storm_721	2
100	Kegradigm	2
100	ssleepless	2
100	tuckerdoodle	2
100	AlazelTheReal	2
100	awesomeoneme	2
100	joethahobo	2
100	Swexti	2
100	DirtyDalle	2
100	Mimiir345	2
100	rpmm	2
100	Mariopreeet	2
100	surfinggiraffejp	2
100	Mewar	2
100	Stiar	2
100	r123moore	2
100	benediktine1	2
100	purpolepickle	2
100	Doom_melon	2
100	Hyp3rion_	2
100	Snowflowe	2
100	killmeiamtraitor	2
100	MustardDrinker	2
100	SlothInASuit	2
100	grislgrobl	2
100	FishyBoy3811	2
100	thgrocks	2
100	theofiel	2
100	Drewen24	2
100	Maenara	2
100	Akoot_	2
100	Nicky19	2
100	Negriuke	2
100	garrykasparow	2
100	sufjanlover	2
100	The_Quack_Dealer	2
100	Toiton	2
100	Karbl	2
100	KermitTheKripple	2
100	C0oOK13M0N5T3R	2
100	AvaRosey	2
100	Ze_BaronKrigler	2
100	Razzgriz	2
100	stavgod	2
100	stahouo	2
100	Logain42	2
100	bitsplease	2
100	VentiHilton	2
100	Creeper_ez	2
100	Enderslayerxz3	2
100	Legendosh	2
100	zmpeg	2
100	JayToe	2
100	00000000-0000-0000-0009-01f898304150	2
156	MunkaKris	1
156	Louiis123	1
156	maxdacatv2	1
156	seanitoo	1
156	Bandito_Roamer	1
156	_Virify_	1
156	Mr_Byzantine	1
156	Froste131	1
156	ProbablyNick	1
156	2xil2	1
156	PhantomsGhost_	1
156	Harotio	1
156	Cowison	1
156	Jorrdi	1
156	awesomeweasel	1
156	Paint	1
156	zqw10k	1
156	squigglybones	1
156	Ze1ig	1
156	jspwn	1
156	DepressedCubic	1
156	xXTheWolfmanXx	1
156	bigstankyy	1
156	BlancoFlaco	1
156	SaucyDark	1
156	_Razar	1
156	livingdaydreams	1
156	ryan521	1
156	Natty	1
156	elleparo	1
156	buss081	1
156	sejekasper1	1
