rank	username	minecraft:broken/minecraft:diamond_leggings
1	eitanzaki	4
1	Eraxa	4
3	KarlKaek	3
3	burbankbuilder28	3
3	sebastiensaborio	3
6	bigstankyy	2
6	Blackberry1310	2
6	ProfessorBee	2
6	_Dean_123	2
6	Xalithia	2
6	gcaisawesome	2
6	benediktine1	2
6	mimbo1211	2
6	ImDisconnected_	2
6	Di_infiri	2
6	SuperPooch06	2
6	Corbsman	2
6	DarlaMeow	2
6	_TCARREIRA_	2
6	FelixPSY375	2
21	Louiis123	1
21	pintsizedrogue	1
21	hollowww	1
21	Furiuosbeast0404	1
21	RebelAndroid	1
21	Natty	1
21	Historical_Sand	1
21	Swexti	1
21	nocturne78	1
21	heckface	1
21	Vizzoid	1
21	Euclidoris	1
21	jushykins	1
21	jacxhadow	1
21	_Nuf	1
21	Enigma0251	1
21	Fullut	1
21	Scathra	1
21	thescout7	1
21	intropass	1
21	Zaridey	1
21	Winklepicker279	1
21	Windo_licker	1
21	Jackattack53	1
21	Arceus1975	1
21	impossibleteapot	1
21	SokaOtaku	1
21	Bumpy419	1
21	Hiryu27	1
21	RobotMinion101	1
21	seramalen	1
21	CruncyIsTaken	1
21	jewbacaman	1
21	lizardfightclub	1
21	TJawesome09	1
21	Lord_Zacler	1
21	Syropatathe	1
21	_Bguette_	1
21	Karbl	1
21	bluefragmentt	1
21	Blu3beast	1
21	censorsheep	1
21	MightyWertu	1
21	GravitySaint	1
21	RedcatVII	1
21	Blaiku	1
21	Racengan	1
21	SingedBread	1
21	Vorlice	1
21	Dusk_95	1
21	IAmTheWalrus910	1
21	Cocoamallows	1
21	Nagasaki_Riku	1
21	stavgod	1
21	__tomato	1
21	stahouo	1
21	GlitchyPlate810	1
21	fffMike	1
21	KingMatthew506	1
21	VentiHilton	1
21	MissCeleste7	1
21	oxfordschool	1
21	Quotary	1
21	RadarHz	1
21	scarletwarrior1	1
21	jnp_gaming	1
21	MeetTheWollo	1
21	Powowowow	1
21	Sral7	1
21	kinas45y5	1
21	The_SlideV5	1
21	EcksDofficial	1
21	Jordan_R	1
21	Smoke____	1
21	00000000-0000-0000-0009-01f898304150	1
