rank	username	minecraft:broken/minecraft:stone_sword
1	LordSpeed37	65
2	Werbe	21
3	PlasticOtari	20
4	BreadBacon	14
5	Mahoose	11
5	Jiminie	11
5	CalebDHawk	11
5	Steelynan	11
9	himak1	9
9	RadarHz	9
11	bloomkieren	8
12	RodSerlingCringe	7
12	Moetis	7
12	oxfordschool	7
12	JayToe	7
16	Thaumatarge	6
16	soundad	6
18	Snowflowe	5
18	ooga47	5
18	Mistruth	5
18	Soul_Atreus	5
22	youhjjhhhjj	4
22	TAKrules	4
22	Ssor69	4
22	ToxicHauntling	4
22	SellyZ	4
22	AJplaysMC_	4
22	brycepants	4
22	rotten_mango	4
22	ori0le	4
22	SwooshBoi	4
22	Steven1282598	4
22	Warlord324	4
22	mawileite	4
35	nataliecool	3
35	Hyugo	3
35	Sleepy_Time_	3
35	tortillatitan	3
35	bloodbiter	3
35	YungJakobo	3
35	Fullut	3
35	Bobby808	3
35	ehunt54	3
35	TakeThis2UrGrave	3
35	Jackattack53	3
35	CaptainAvenger7	3
35	Sky_light_KING	3
35	XxCookiequeenxX	3
35	chipklip	3
35	C0oOK13M0N5T3R	3
35	DamagedSin	3
35	NebulousBadger	3
35	mountaingirl311	3
35	Smoke____	3
55	Mr_Byzantine	2
55	Ninzyyy	2
55	Mowelan	2
55	squigglybones	2
55	Alteriity	2
55	Cryptacity	2
55	ProfessorBee	2
55	Guillemet	2
55	AngalexikCZ	2
55	beeleg	2
55	Ithaca_GC	2
55	Touched_Bread	2
55	FennYuzuna	2
55	faulder	2
55	jedi_george	2
55	Donutt	2
55	nut_e	2
55	Judah_Ra	2
55	cedric72	2
55	Shavrin	2
55	Dan_Scha	2
55	Vladotz	2
55	yulgur1	2
55	natajimi	2
55	avalan64	2
55	KlausVonStiglitz	2
55	ChocolatePepsi	2
55	MakeHistory157	2
55	SvenskaHugo	2
55	PirreJR	2
55	Ripzch	2
55	MineMaster0012	2
55	lcvezra	2
55	Luigipunch989	2
55	will2690	2
55	TrollerYT	2
55	Miko_Fullbuster	2
55	QueenOfDirt	2
55	Oxygen16	2
55	jnp_gaming	2
55	kinas45y5	2
55	EcksDofficial	2
55	Teebone15	2
98	Im_SMX	1
98	Krimys	1
98	SyK7	1
98	BigBootyHudge	1
98	Merv__	1
98	milkedit	1
98	Azorathum	1
98	EllaBellaChu	1
98	KingFaenor	1
98	numbra	1
98	6king6colt6	1
98	xXTheWolfmanXx	1
98	SirUnderpants	1
98	ImpavidArcher	1
98	SaucyDark	1
98	TooManyDuck	1
98	Ryker	1
98	openatheclose	1
98	Batman922	1
98	MangoTango82	1
98	HazenBlazin	1
98	ivorico	1
98	Big_Bad_Will	1
98	Prismyst	1
98	elleparo	1
98	301851	1
98	Swexti	1
98	IWorkAtIkea	1
98	Shazzyling	1
98	FirsTimeGamingTV	1
98	heckface	1
98	Koffeeinz	1
98	cowgirlkasia	1
98	Blackberry1310	1
98	xPixelRainx	1
98	Albertalo	1
98	Dnulgreb	1
98	MrExplorer	1
98	SirMinza	1
98	Cortexia	1
98	Aatronix1	1
98	Scattman_	1
98	ConcretePirate	1
98	BreadFruggis	1
98	_Bruhtastic_	1
98	_Minnty_	1
98	Z3braYTIL	1
98	set67	1
98	Laykon	1
98	Commander_Ange	1
98	IforgotCS_Source	1
98	LavenderBi1ch	1
98	eviltunix	1
98	intropass	1
98	__TheNorseMan__	1
98	Zenlou	1
98	SLASHZEERA	1
98	Noah_Bez	1
98	Kubelz	1
98	XboxPanda	1
98	M_Patata	1
98	Purplehere	1
98	NLKBuilder	1
98	toj__	1
98	Winklepicker279	1
98	fr_ser	1
98	nitram49b	1
98	SlayerCrypto	1
98	whoaluv	1
98	dedgt	1
98	Hyp3rion_	1
98	Zythose	1
98	Destroyer112221	1
98	NarwhalTaco	1
98	pappaberg	1
98	dendydoom	1
98	CasperHxly	1
98	regulator75	1
98	msJabberwock	1
98	CaptainDeadBread	1
98	lOlmantschi	1
98	ItsAki_	1
98	ApophisNova	1
98	RobotMinion101	1
98	Onennon	1
98	fred870d	1
98	Kynigito	1
98	Moofyman	1
98	wrinkledpiglet	1
98	Project_MKBRD	1
98	jewbacaman	1
98	Forcolp	1
98	Cattoh	1
98	Kryktal	1
98	aa2x_	1
98	Leyna3	1
98	Cteam	1
98	St4nLe7	1
98	Skyle169	1
98	Austinizzle	1
98	ChrisKyleST3	1
98	Blamphe	1
98	420BreadLizard	1
98	NoobSlayerPro	1
98	Inbefour	1
98	Katsuragi0243218	1
98	SpouHn	1
98	m9_meltdown_	1
98	MinuteMira	1
98	jambvds	1
98	Lutres_Torane	1
98	ozekigod	1
98	comjosh64	1
98	Suraidu	1
98	The_Skramz	1
98	StinkyDiplomat	1
98	Quaintster	1
98	Freak_Genius	1
98	MangoSalad316	1
98	Leeeegend	1
98	MustaLoordi	1
98	El_Jalapeno	1
98	Frozil12	1
98	fluddd	1
98	560cool	1
98	marumochis	1
98	RedcatVII	1
98	Keeogwi	1
98	Groundler	1
98	SingedBread	1
98	_k2x	1
98	Th6masss	1
98	VilsSwag	1
98	Fildyr	1
98	ProfessorDiaper	1
98	wwwwinnebagoooo	1
98	Yoaty	1
98	cytotoxaint	1
98	Vorlice	1
98	radioactv_jelly	1
98	MasterNueve	1
98	Chaotic1s	1
98	Lirael42	1
98	sigmabich	1
98	Pickel_Lord	1
98	PabloGonza02	1
98	Jij0	1
98	plato2066	1
98	IdeallyGrey	1
98	pixelviolin	1
98	yatsuta	1
98	LilcoinXX	1
98	underscore_2	1
98	Bawbman	1
98	Soplight	1
98	a_smol_bean	1
98	Poppy235	1
98	Whitecker	1
98	Deguns123	1
98	Drawgirll	1
98	felincaus	1
98	Kferno	1
98	TheALV	1
98	apnos	1
98	laron58	1
98	HuangMeiHua	1
98	Ezekson	1
98	MyNamaSheff	1
98	Lowjinx	1
98	imaginek1d	1
98	momis24	1
98	CrazyPotater	1
98	diggydog67	1
