rank	username	minecraft:broken/minecraft:diamond_hoe
1	CoffeeNoir	42
2	PaperCanvas	7
3	FreakGenius	4
4	Di_infiri	3
5	Groovy_MoonBird	2
5	Presisor	2
5	Iamthejo	2
5	Enderxz3	2
9	PhantomsGhost_	1
9	dudcreeper	1
9	PazinGaming	1
9	Merv__	1
9	joethahobo	1
9	beeperbeeper5	1
9	MrSSoaper	1
9	FirsTimeGamingTV	1
9	Prodiginus	1
9	Blackberry1310	1
9	Fullut	1
9	mwrty	1
9	ROY4LE	1
9	hcb238	1
9	MyNameIsJobo	1
9	oscminus	1
9	Mattesco	1
9	TheShyPig	1
9	Rasmanden	1
9	wezzzi	1
9	Meepcraft	1
9	Karbl	1
9	HellsSponge	1
9	claivin	1
9	Blu3beast	1
9	censorsheep	1
9	Racengan	1
9	lordpipe	1
9	Eraxa	1
9	pixelviolin	1
9	YungMaki	1
9	miramyu	1
9	Dreamdbr14	1
9	elliebelle107	1
9	tartanboy	1
9	Skippeh	1
9	Nicserso	1
9	FelixPSY375	1
9	Powowowow	1
9	TechnoNinja64	1
9	skitzxo	1
9	Yamdalorian	1
9	FishisTTV	1
