rank	username	minecraft:broken/minecraft:golden_chestplate
1	Deathkob	9
2	SuperPooch06	4
3	Laykon	3
3	eviltunix	3
3	Kubelz	3
3	Mattesco	3
3	cedric72	3
3	Akoot_	3
3	El_Jalapeno	3
3	Smoke____	3
11	soundad	2
11	youhjjhhhjj	2
11	Mahoose	2
11	MyNameIsJobo	2
11	tobinwilliams	2
11	HellsSponge	2
11	ReflexCode	2
11	Mistruth	2
11	Poppy235	2
11	Iamthejo	2
21	Riick_Astley	1
21	SKYPEX_	1
21	luvcheesecake	1
21	Elprone266	1
21	Aqsome	1
21	Zombie__TW	1
21	Ilinca_Io	1
21	BlancoFlaco	1
21	SaucyDark	1
21	Firecracker320	1
21	livingdaydreams	1
21	Dogbound	1
21	KomputerDude	1
21	H72l9w	1
21	Cartoonmaniac	1
21	Ssor69	1
21	Vizzoid	1
21	Yuniqe_	1
21	Blackberry1310	1
21	ElFi66	1
21	4383	1
21	jushykins	1
21	jacxhadow	1
21	Guillemet	1
21	corvidpartyfor6	1
21	wiqor	1
21	excelsionprime	1
21	Tmb1	1
21	mwrty	1
21	orxngejuice	1
21	intropass	1
21	2Stout	1
21	gcaisawesome	1
21	NoxxxxiS	1
21	Paintz	1
21	Touched_Bread	1
21	M_Patata	1
21	mariominejedi	1
21	ninjacat027	1
21	Useless_Relic	1
21	Chromary	1
21	Zythose	1
21	AnnieBathory	1
21	CasperHxly	1
21	DebbieBrunswick	1
21	Werbe	1
21	ooga47	1
21	Smussa	1
21	F_Uhre	1
21	fxiryglitch	1
21	victorLIE	1
21	TJawesome09	1
21	Maenara	1
21	Elastiq	1
21	Fakiuss	1
21	Joestra	1
21	NomadicRobin_	1
21	NoChumpChange	1
21	Meepcraft	1
21	rotten_mango	1
21	MinuteMira	1
21	lillips	1
21	Tyrannosplart	1
21	majlin16	1
21	Aoiraa	1
21	claivin	1
21	Quaintster	1
21	FlashMigma	1
21	Blu3beast	1
21	VilsSwag	1
21	Yahir091	1
21	monky_irl	1
21	MasterNueve	1
21	BlankityMcBlank	1
21	RealGroot	1
21	Fizznut909	1
21	obzii	1
21	DennyKai	1
21	CalebDHawk	1
21	Invintic	1
21	jcool7	1
21	xX_Stalin69_Xx	1
21	ChazzaHodge13	1
21	RadarHz	1
21	Enderxz3	1
21	momis24	1
21	PlasticOtari	1
21	MelodyGaysharks	1
