rank	username	minecraft:broken/minecraft:flint_and_steel
1	Freak_Genius	56
2	noam464	35
2	Hyp3rion_	35
4	ediballbearings	34
5	12Magner05	33
6	eitanzaki	20
7	bloodbiter	12
8	Smoke____	10
9	Enderslayerxz3	9
10	Winklepicker279	7
10	Jackattack53	7
10	Frozil12	7
10	LordSpeed37	7
14	EveryonesUncle	6
14	MightyWertu	6
14	lordpipe	6
14	lcvezra	6
14	camando92	6
19	TheSecondLord	5
19	Werbe	5
19	claivin	5
19	PortlyPete69	5
19	MilleGrug	5
19	Zoeyfortnite	5
25	Groovy_MoonBird	4
25	_Virify_	4
25	bigstankyy	4
25	joethahobo	4
25	_Boipl_	4
25	yulgur1	4
25	chipklip	4
25	Blaiku	4
25	SkateboardR6	4
25	jcool7	4
25	Steelynan	4
25	EcksD	4
25	EcksDofficial	4
38	dudcreeper	3
38	teslawolf38	3
38	T045RTY	3
38	beeperbeeper5	3
38	LoboTheLobster	3
38	ProfessorBee	3
38	Smashic	3
38	Z3braYTIL	3
38	drunkeeez	3
38	gabriels543	3
38	Di_infiri	3
38	selectrix	3
38	CruncyIsTaken	3
38	Lord_Jord	3
38	fw3xywashere	3
38	NomadicRobin_	3
38	Nycteus_	3
38	monky_irl	3
38	Kowcio_	3
38	djancak	3
38	Spenduh	3
38	Nargotah	3
38	zmpeg	3
61	PhantomsGhost_	2
61	Killercatty78	2
61	RebelAndroid	2
61	lotarp	2
61	CoffeeNoir	2
61	Mahoose	2
61	ShedJr_	2
61	Blackberry1310	2
61	Austine6698	2
61	BreadFruggis	2
61	groggregg42	2
61	thescout7	2
61	emrekn	2
61	Kakolbus	2
61	thewindmillman	2
61	Zythose	2
61	Rebytre	2
61	PigDab	2
61	ebanana	2
61	HellsSponge	2
61	El_Jalapeno	2
61	Spacewardharpy7	2
61	stahouo	2
61	Ezekson	2
61	cichy096	2
61	jnp_gaming	2
87	TheBiggestFeller	1
87	Vryistal	1
87	JEWISHBadenBeele	1
87	Drlzyy	1
87	Merv__	1
87	TildaAndrea	1
87	Tommhh	1
87	6king6colt6	1
87	I_Am_Mushkin	1
87	Iagoku	1
87	error10101	1
87	Dedalus36	1
87	ColeSnyder	1
87	ImpavidArcher	1
87	BlancoFlaco	1
87	Incinere	1
87	MrKrabOnCoke	1
87	Historical_Sand	1
87	Swexti	1
87	Da_Boss_Rani	1
87	SquadMonster	1
87	ccwildfire1	1
87	elmer1234	1
87	FirsTimeGamingTV	1
87	rarrq	1
87	Euclidoris	1
87	Stynxy	1
87	Khelvoryk	1
87	BobDeBouwer1337	1
87	MinttyFressh	1
87	kekhon	1
87	500am	1
87	minersam1	1
87	ROY4LE	1
87	r123moore	1
87	arcanemagic	1
87	DermeinUser	1
87	IronyMan69	1
87	PeteO1995	1
87	swag_bro2004	1
87	Windo_licker	1
87	yeetbois69	1
87	loveseeker	1
87	SuperPooch06	1
87	Chromary	1
87	Snowflowe	1
87	RefluxRatio	1
87	burbankbuilder28	1
87	impossibleteapot	1
87	Billious	1
87	Bumpy419	1
87	Skylord_Luke	1
87	Onennon	1
87	fred870d	1
87	LeGold	1
87	Zielo2017PL	1
87	Jonte0599	1
87	cedric72	1
87	TheShyPig	1
87	_naturell	1
87	HolyVenom	1
87	Akoot_	1
87	wirelesstree	1
87	Inbefour	1
87	Katsuragi0243218	1
87	Gryglu583	1
87	aldplaysmc	1
87	Jiminie	1
87	DarlaMeow	1
87	DanTheBuilderino	1
87	Groundler	1
87	419mmurphy	1
87	Testificate_517	1
87	LazySupport00	1
87	Hisiste	1
87	MovingFish7	1
87	SUN_DREAM	1
87	bndo	1
87	Nagasaki_Riku	1
87	Omar_Alone	1
87	ayamefag	1
87	pixelviolin	1
87	AssFullaCum	1
87	__tomato	1
87	Soplight	1
87	_TCARREIRA_	1
87	Poppy235	1
87	Sheldor097	1
87	SprinklerMan	1
87	KingMatthew506	1
87	Kubeusz2010	1
87	MissCeleste7	1
87	tartanboy	1
87	Skippeh	1
87	_KuruKuru	1
87	anbbang	1
87	Aryamanee	1
87	FelixPSY375	1
87	AltnumberF4	1
87	MeetTheWollo	1
87	2blox	1
87	BiggieDawg	1
87	PlasticOtari	1
87	Sral7	1
87	Jordan_R	1
87	Teebone15	1
87	MelodyGaysharks	1
87	FishisTTV	1
87	h2p_emrld	1
87	Faart	1
87	561cool	1
87	00000000-0000-0000-0009-01f898304150	1
