rank	username	minecraft:broken/minecraft:stone_shovel
1	LordSpeed37	994
2	Drawgirll	194
3	m_be9	141
4	xxPipperDipperxx	79
4	Miko_Fullbuster	79
6	ExtraDumb	78
7	Kryktal	72
8	rarrq	67
9	LordAurum	55
10	Ezekson	43
11	firesgal3116	40
12	stahouo	37
13	KlausVonStiglitz	33
14	Freak_Genius	32
15	Kymarmalade	30
16	SteveCraftBlocks	29
17	himak1	27
17	brycepants	27
19	Nach0Bear	22
19	dendydoom	22
21	Soul_Atreus	21
21	TechnoNinja64	21
23	stuy9	20
24	Kamflame10	19
24	jnp_gaming	19
26	Deathkob	18
26	Lowjinx	18
28	ImpavidArcher	17
28	_Boipl_	17
28	KillerNekoRain	17
28	Western_1	17
32	Blackberry1310	16
32	ooga47	16
32	rotten_mango	16
35	NebulousBadger	15
35	RoboTramp7865	15
37	AJplaysMC_	14
38	SidorAlex	13
39	Tobinator_007	12
39	_Dean_123	12
39	2Stout	12
39	natajimi	12
39	ThatMan_Dave	12
44	Ssor69	11
44	Katsuragi0243218	11
44	Warlord324	11
47	ItzYaBoiPicard	10
47	RohnJosin	10
49	SHAOBADMAN	9
49	Purplehere	9
49	Studyhallsaver	9
49	avalan64	9
49	chipklip	9
49	Kferno	9
55	tortillatitan	8
55	Di_infiri	8
55	Zythose	8
55	Bumpy419	8
55	_Cloverbelle_	8
55	Leyna3	8
55	CrazyPotater	8
55	DkansK	8
63	Stynxy	7
63	cowgirlkasia	7
63	CharlieButt	7
63	ehunt54	7
63	Winklepicker279	7
63	__Fanda__	7
63	Shavrin	7
63	MrButterscotch	7
63	ElderRifken	7
63	SpouHn	7
63	El_Jalapeno	7
63	SvenskaHugo	7
63	xorompole	7
63	mountaingirl311	7
77	Groovy_MoonBird	6
77	dudcreeper	6
77	kekhon	6
77	Cortexia	6
77	BreadFruggis	6
77	Cidah	6
77	LitoDelvito	6
77	M_Patata	6
77	BlueZabu	6
77	FetteMutter	6
77	ItsAki_	6
77	DeeDeeThonk	6
77	Kynigito	6
77	Lord_Jord	6
77	MasterNueve	6
77	Luigipunch989	6
77	RadarHz	6
77	momis24	6
77	Schlitzman	6
96	6king6colt6	5
96	Lukeee33	5
96	CoffeeNoir	5
96	Reamdin	5
96	StanceTB	5
96	Rebytre	5
96	privatemeekly	5
96	XenoWolf_ITA	5
96	a_smol_bean	5
96	oxfordschool	5
96	Oxygen16	5
96	Powowowow	5
108	not_a_duck_23	4
108	ryan521	4
108	Base_Tempest	4
108	Ravenbie	4
108	Ardennes	4
108	lordofthelight95	4
108	Cambo5000	4
108	NotSoJamie	4
108	faulder	4
108	fr_ser	4
108	Snowflowe	4
108	SkyHighSkier	4
108	Akoot_	4
108	Pootis11	4
108	ori0le	4
108	SolicitedPuma101	4
108	_k2x	4
108	__hinterland__	4
108	Mistruth	4
108	bruh072	4
108	MADDMASTA	4
108	lcvezra	4
108	SammiWolfGirl	4
108	OfficerAnvil	4
108	Smoke____	4
133	Batoser	3
133	SKYPEX_	3
133	awesomeweasel	3
133	_stets	3
133	dabloons	3
133	RatatJuice	3
133	RebelAndroid	3
133	Ozixar	3
133	titanlax	3
133	shdesolt	3
133	bloodbiter	3
133	YungJakobo	3
133	ConcretePirate	3
133	crying_wolf_13	3
133	stopfive	3
133	Laykon	3
133	ciemacigans	3
133	eiC_	3
133	DermeinUser	3
133	Zaridey	3
133	Windo_licker	3
133	CarltheCuck	3
133	RyuNeko932000	3
133	nut_e	3
133	JustAWill_	3
133	N7November	3
133	brickman241	3
133	TheShyPig	3
133	Dan_Scha	3
133	RodSerlingCringe	3
133	Choco_Spy	3
133	Roikdean	3
133	sufjanlover	3
133	madderfall	3
133	elijahmaroney	3
133	KermitTheKripple	3
133	GeromeMerris	3
133	560cool	3
133	iGotUrHost	3
133	Typadopoulos	3
133	DamagedSin	3
133	Factoroni	3
133	legoclone09	3
133	Jij0	3
133	MineMaster0012	3
133	SSytex_X	3
133	Juh1s	3
133	CalebDHawk	3
133	ssniffles	3
133	BreadBacon	3
133	OnlyOfficial	3
133	FGamerJ	3
133	mediumBev	3
186	Im_SMX	2
186	Harotio	2
186	gizmo98	2
186	Paint	2
186	ssleepless	2
186	JingleLizi	2
186	Paleshield	2
186	Natty	2
186	planc_	2
186	DrichAldrich	2
186	mennorovers	2
186	IWorkAtIkea	2
186	heckface	2
186	dopplexd	2
186	InfernalMound	2
186	ratglock	2
186	Comma__	2
186	Chickenchaser2	2
186	ashetrays	2
186	MrExplorer	2
186	lilsay	2
186	500am	2
186	Nab3rius	2
186	GLLogan2	2
186	paranoid_plant	2
186	thescout7	2
186	Bobby808	2
186	IforgotCS_Source	2
186	Robby_Cream	2
186	intropass	2
186	SharpDev	2
186	ROY4LE	2
186	Diavri	2
186	UncleDanDan	2
186	Minc_	2
186	TableTim	2
186	fallingemma	2
186	ImDisconnected_	2
186	BigMoneyH	2
186	Icyyyyy	2
186	TakeThis2UrGrave	2
186	loveseeker	2
186	SuperPooch06	2
186	Arceus1975	2
186	stickwhiskers	2
186	calajimi	2
186	AnnieBathory	2
186	AlexStrange	2
186	regulator75	2
186	BlossomOwO	2
186	CruncyIsTaken	2
186	Onennon	2
186	epiksk8erduck	2
186	cedric72	2
186	NomRay	2
