rank	username	minecraft:broken/minecraft:diamond_boots
1	KarlKaek	7
2	Corbsman	5
3	hydrothebot	4
3	Jackattack53	4
3	HellsSponge	4
6	Studio4x32	3
6	_Dean_123	3
6	mimbo1211	3
6	Windo_licker	3
6	FelixPSY375	3
11	pintsizedrogue	2
11	Groovy_MoonBird	2
11	PazinGaming	2
11	eitanzaki	2
11	lorywithay	2
11	Lez_	2
11	royal_2	2
11	Vizzoid	2
11	jacxhadow	2
11	kekhon	2
11	Xalithia	2
11	ROY4LE	2
11	benediktine1	2
11	ImDisconnected_	2
11	Di_infiri	2
11	SuperPooch06	2
11	Jonafrog99	2
11	Bumpy419	2
11	Cruncy_	2
11	PaperCanvas	2
11	Tyrannosplart	2
11	Racengan	2
11	SSytex_X	2
11	EcksD	2
11	es0th	2
36	Louiis123	1
36	SoosAmongus	1
36	_stets	1
36	Flegneh	1
36	hollowww	1
36	teslawolf38	1
36	bigstankyy	1
36	ssleepless	1
36	77Holly7	1
36	Furiuosbeast0404	1
36	LagVibes	1
36	Natty	1
36	AlazelTheReal	1
36	ShedJr_	1
36	Historical_Sand	1
36	TipDuy3010	1
36	nocturne78	1
36	Euclidoris	1
36	Blackberry1310	1
36	_Nat666	1
36	Rich_Kat	1
36	12Magner05	1
36	_Nuf	1
36	EnigmaTheYeen	1
36	Kamflame	1
36	4774	1
36	thescout7	1
36	NotMeanttoChange	1
36	Pineapplesugr	1
36	surfinggiraffejp	1
36	gcaisawesome	1
36	noam464	1
36	Zaridey	1
36	fr_ser	1
36	MyNameIsJobo	1
36	SlayerCrypto	1
36	Norrhede	1
36	corpsecity	1
36	Arceus1975	1
36	Hyp3rion_	1
36	burbankbuilder28	1
36	_8man	1
36	impossibleteapot	1
36	Boipl	1
36	Azmodan_246	1
36	Rebytre	1
36	seramalen	1
36	Mattesco	1
36	epiksk8erduck	1
36	TheShyPig	1
36	KeruNatsema	1
36	FishyBoy3811	1
36	YahooScreen9000	1
36	TJawesome09	1
36	Elastiq	1
36	Nicky19	1
36	parodypatient	1
36	wezzzi	1
36	Hahaa_0	1
36	Vanni9	1
36	Inbefour	1
36	Russiancat1	1
36	AspenLightVT	1
36	ebanana	1
36	JESS_THE_RERE	1
36	DarlaMeow	1
36	DanTheBuilderino	1
36	bluefragmentt	1
36	Blu3beast	1
36	censorsheep	1
36	Xclax101	1
36	Cyntrical	1
36	GravitySaint	1
36	RedcatVII	1
36	Blaiku	1
36	Groundler	1
36	SingedBread	1
36	Vorlice	1
36	IAmTheWalrus910	1
36	Vetomo8000	1
36	Kura2218	1
36	Optiprimus	1
36	ayamefag	1
36	Soul_Atreus	1
36	_Tilariel_	1
36	Khoaducquan1234	1
36	MC_Skribble	1
36	xzvu	1
36	_TCARREIRA_	1
36	fffMike	1
36	KingMatthew506	1
36	VentiHilton	1
36	ZoomieZoomie	1
36	chiakirice	1
36	ConnorDanky_	1
36	11Brewer	1
36	Quotary	1
36	scarletwarrior1	1
36	CattSoup	1
36	DairyNickel756	1
36	Nicserso	1
36	Weepingbiel	1
36	Sral7	1
36	The_SlideV5	1
36	Yamdalorian	1
