rank	username	minecraft:broken/minecraft:golden_sword
1	M_Patata	106
1	MasterNueve	106
3	Yahrto	48
4	Mr_Byzantine	6
4	eitanzaki	6
6	Stewart32547	4
6	noam464	4
6	platinumzero	4
9	Creativebuilder2	3
9	bloodbiter	3
9	xXxSebastianLxXx	3
9	jedi_george	3
9	Arceus1975	3
9	Akoot_	3
9	sufjanlover	3
9	claivin	3
9	UrbanPlanner1978	3
9	Smoke____	3
19	Ilinca_Io	2
19	Winklepicker279	2
19	Meepcraft	2
19	Toriankel	2
19	Poppy235	2
19	JasmineGK	2
19	Lowjinx	2
26	pintsizedrogue	1
26	Elprone266	1
26	lewieinnit	1
26	Jackywho	1
26	Nucket	1
26	AshleeCW	1
26	numbra	1
26	JapansDragon	1
26	Rasaq	1
26	rarrq	1
26	chlorinex	1
26	AlejandroPH1	1
26	Khelvoryk	1
26	Cryptacity	1
26	4383	1
26	jushykins	1
26	GingerNeutron	1
26	zMarciano	1
26	shyshyannne	1
26	dream_mist	1
26	Ronce_Mormel	1
26	Cambo5000	1
26	ketaminmann	1
26	himak1	1
26	intropass	1
26	ROY4LE	1
26	HoltGrim	1
26	mimbo1211	1
26	SeverianTheLame	1
26	Antek_Kicek	1
26	SuperPooch06	1
26	Queen_Jalapeno	1
26	Hyp3rion_	1
26	Snowflowe	1
26	Silvo614	1
26	_Boipl_	1
26	Infernowithazero	1
26	Sqwishy	1
26	TTNG	1
26	aec9	1
26	MooxPlaysRust	1
26	AuroraSkies	1
26	420BreadLizard	1
26	_Crimson_Legate	1
26	NomadicRobin_	1
26	Inbefour	1
26	XxCookiequeenxX	1
26	Quinasin	1
26	DarlaMeow	1
26	CookTheChef3	1
26	Freak_Genius	1
26	El_Jalapeno	1
26	censorsheep	1
26	_ritter	1
26	halfbakedlasagna	1
26	DolphinLaugh	1
26	DarkLawD	1
26	SkateboardR6	1
26	TheDumbHuman	1
26	MakeHistory157	1
26	NebulousBadger	1
26	Razzgriz	1
26	33sudo	1
26	pixelviolin	1
26	YungMaki	1
26	djancak	1
26	Spenduh	1
26	PortlyPete69	1
26	CalebDHawk	1
26	EcksD	1
26	_AAZAR	1
26	Legendosh	1
26	PlasticOtari	1
