rank	username	minecraft:broken/minecraft:iron_shovel
1	Ezekson	113
2	TheWickedBird	98
3	Arceus1975	84
4	cedric72	72
5	FreakGenius	63
5	skitzxo	63
7	thebaddruid	55
8	12Magner05	49
8	ZeroAbyssTTV	49
10	Bandito_Roamer	48
11	DanTheBuilderino	46
12	picardred	45
13	Ajax6	44
14	ImpavidArcher	40
15	Paintz	39
16	Hahaa_0	37
17	_Dean_123	35
17	NebulousBadger	35
19	El_Jalapeno	33
19	Razzgriz	33
21	Lord_Jord	30
22	pintsizedrogue	29
22	SOA1RR	29
22	SkateboardR6	29
25	Froste131	28
25	Avocadogerms	28
27	Yamdalorian	27
28	CoffeeNoir	26
28	beeperbeeper5	26
28	bloodbiter	26
28	_Cloverbelle_	26
28	_TCARREIRA_	26
33	BlancoFlaco	24
33	excelsionprime	24
33	purpolepickle	24
36	CornOnTheCobalt	23
37	ProfessorBee	22
37	2Stout	22
37	MightyWertu	22
40	RatatJuice	21
40	U_Mos_	21
40	Kateesaur	21
43	Tommhh	20
43	MoistMicrowave	20
45	PaperCanvas	19
45	Toriankel	19
45	Warlord324	19
48	kekhon	18
48	GLLogan2	18
50	Nicky_H225	17
50	squillz105	17
50	Methalox1	17
50	djancak	17
54	Base_Tempest	16
54	firesgal3116	16
54	Boipl	16
54	wezzzi	16
54	Xclax101	16
54	Kowcio_	16
60	rarrq	15
60	Kamflame	15
60	CrookedKaptain	15
60	eviltunix	15
60	Reneedium	15
60	Studyhallsaver	15
60	Inconvenionce	15
60	epiksk8erduck	15
60	luseis	15
60	Mikael_Kuningas	15
70	seanitoo	14
70	iElijahi	14
70	CliffEmAll	14
70	aldplaysmc	14
70	DrGrant	14
70	LordSpeed37	14
70	IdeallyGrey	14
70	Kferno	14
70	Iamthejo	14
79	Wooptey	13
79	Natty	13
79	Nach0Bear	13
79	KeruNatsema	13
79	Kim_Jong_eel	13
79	DarkS0L	13
79	robotemo	13
79	HelloIamSora	13
79	jnp_gaming	13
88	AuroraValkyrie	12
88	shdesolt	12
88	Xalithia	12
88	whoaluv	12
