rank	username	minecraft:broken/minecraft:golden_axe
1	ayamefag	25
2	PeteO1995	13
3	Simon_Lowell	12
4	Silvo614	3
5	Tommhh	2
5	Gemstuff	2
5	richerbat	2
5	Khelvoryk	2
5	tsitrawhy	2
10	Krasnal1337	1
10	FazeObama69	1
10	AshleeCW	1
10	Creativebuilder2	1
10	Myrlewen	1
10	PhantomBionic	1
10	Euclidoris	1
10	GingerNeutron	1
10	corvidpartyfor6	1
10	Scattman_	1
10	UncreativeArtist	1
10	orxngejuice	1
10	HoltGrim	1
10	mariominejedi	1
10	Di_infiri	1
10	thewindmillman	1
10	_Boipl_	1
10	Parcc	1
10	Felenov	1
10	wilgot_	1
10	aec9	1
10	Cattoh	1
10	CarryLine	1
10	Elastiq	1
10	sufjanlover	1
10	MinuteMira	1
10	SolicitedPuma101	1
10	lillips	1
10	KermitTheKripple	1
10	QueenShuvi	1
10	Blu3beast	1
10	Yoaty	1
10	Kowcio_	1
10	YungMaki	1
10	MineMaster0012	1
10	RadarHz	1
10	bladeefan2009	1
10	trexgb	1
10	Smoke____	1
10	00000000-0000-0000-0009-01ff0c3e5e4f	1
