rank	username	minecraft:broken/minecraft:netherite_shovel
1	Skylord_Luke	23
2	hanaryheatwave	3
2	luseis	3
4	noam464	2
4	Winklepicker279	2
4	thewindmillman	2
7	teslawolf38	1
7	Lez_	1
7	Historical_Sand	1
7	beeperbeeper5	1
7	Pofen	1
7	Auseawesome	1
7	fade_emerge78823	1
7	Marbz_	1
7	CosmicStardustt	1
7	fragrantmonke444	1
7	Hyp3rion_	1
7	RebytreGT	1
7	oscminus	1
7	Mattesco	1
7	HellsSponge	1
7	Racengan	1
7	Yahir091	1
7	Spacewardharpy7	1
7	mihimihimihi	1
7	MilleGrug	1
7	Iamthejo	1
7	Nicserso	1
7	Enderxz3	1
7	Jimb0nat0r	1
