rank	username	minecraft:broken/minecraft:golden_leggings
1	El_Jalapeno	14
2	Deathkob	11
3	Mattesco	7
3	FreakGenius	7
5	SuperPooch06	6
6	Mahoose	5
6	MyNameIsJobo	5
8	Yamdalorian	4
9	Historical_Sand	3
9	Ssor69	3
9	Moofyman	3
9	sp00ky_ghost977	3
13	soundad	2
13	abdomera	2
13	Prismyst	2
13	TipDuy3010	2
13	eviltunix	2
13	noam464	2
13	Jackattack53	2
13	LovableFemboy	2
13	Boipl	2
13	ooga47	2
13	Akoot_	2
13	Blu3beast	2
13	Gus2005	2
13	SingedBread	2
13	Warlord324	2
13	nagyvad	2
13	Pumpkin_P_Patch	2
13	Segotep999	2
13	miramyu	2
13	Iamthejo	2
13	Quotary	2
13	RadarHz	2
35	Groovy_MoonBird	1
35	Mr_Byzantine	1
35	Mowelan	1
35	Ilinca_Io	1
35	JapansDragon	1
35	dragonsleger	1
35	BlancoFlaco	1
35	RatatJuice	1
35	RebelAndroid	1
35	Dogbound	1
35	Filborg	1
35	TAKrules	1
35	Julmish	1
35	Simon_Lowell	1
35	ShedJr_	1
35	Whiterooster001	1
35	ChampPog_	1
35	rarrq	1
35	Upstro10	1
35	Blackberry1310	1
35	Crowman1	1
35	Tongon	1
35	ratglock	1
35	Cryptacity	1
35	Adlair	1
35	Comma__	1
35	firesgal3116	1
35	jacxhadow	1
35	Nicky_H225	1
35	MrExplorer	1
35	Guillemet	1
35	corvidpartyfor6	1
35	thebest_daniela	1
35	Cambo5000	1
35	Laykon	1
35	thescout7	1
35	_Magdo_	1
35	Motsaro	1
35	himak1	1
35	Inchef	1
35	intropass	1
35	Xalithia	1
35	Resner	1
35	Paintz	1
35	eiC_	1
35	walll	1
35	pumpfonzo	1
35	FennYuzuna	1
35	Kakolbus	1
35	Ch4osDoom64	1
35	ninjacat027	1
35	Ristebraaten	1
35	jedi_george	1
35	okCrypto	1
35	Rumpletaezer	1
35	Zythose	1
35	Reneedium	1
35	pappaberg	1
35	WarMachina	1
35	toastfetchd	1
35	JETrotter	1
35	tobinwilliams	1
35	F_Uhre	1
35	A_Potatoe	1
35	cedric72	1
35	Oragious	1
35	aec9	1
35	Ximid	1
35	Nicky19	1
35	EdGalbraith	1
35	ebanana	1
35	Dakar_	1
35	HellsSponge	1
35	Avocadogerms	1
35	StinkyDiplomat	1
35	thatsjustfrankie	1
35	kalzor	1
35	SwooshBoi	1
35	lolpoottoot	1
35	SkateboardR6	1
35	Spacewardharpy7	1
35	mihimihimihi	1
35	Druid95	1
35	Mistruth	1
35	ItsDeltaMC	1
35	WingedTortoise	1
35	NebulousBadger	1
35	Majonezzon	1
35	OPTOMA_KING	1
35	Moss_2006	1
35	IdeallyGrey	1
35	PirreJR	1
35	SquidZooka2	1
35	Kijiki	1
35	BlankityMcBlank	1
35	xDragonx	1
35	SammiWolfGirl	1
35	Nekomin0	1
35	Celeste_121	1
35	_i_ERROR_i_	1
35	BubblyOrangutan	1
35	CalebDHawk	1
35	Invintic	1
35	Nargotah	1
35	jcool7	1
35	TrollerYT	1
35	DiamondShaff	1
35	11Brewer	1
35	Corkchef	1
35	CattSoup	1
35	Creeper_ez	1
35	UrbanPlanningEx	1
35	TechnoNinja64	1
35	PlasticOtari	1
35	LiquidFenrir	1
35	MelodyGaysharks	1
35	TheWickedBird	1
