rank	username	minecraft:broken/minecraft:chainmail_boots
1	Deathkob	3
1	El_Jalapeno	3
3	youhjjhhhjj	2
3	himak1	2
3	SuperPooch06	2
3	Arceus1975	2
7	Groovy_MoonBird	1
7	soundad	1
7	Mahoose	1
7	Alphanzt99	1
7	DirtyDalle	1
7	TheThomas69	1
7	stickymonkeyboy	1
7	Touched_Bread	1
7	noam464	1
7	Winklepicker279	1
7	Rumpletaezer	1
7	Zythose	1
7	Rocco_Lane	1
7	Jeteight	1
7	ItsAki_	1
7	ooga47	1
7	Ghemmah	1
7	Akoot_	1
7	Tyrannosplart	1
7	StinkyDiplomat	1
7	censorsheep	1
7	BumbleBeever	1
7	silverpopcorn	1
7	WyngGoy	1
7	Ze_BaronKrigler	1
7	Majonezzon	1
7	Shin69	1
7	lcvezra	1
7	Iamthejo	1
7	bladeefan2009	1
7	Teebone15	1
7	Smoke____	1
