rank	username	minecraft:broken/minecraft:diamond_chestplate
1	Arceus1975	5
2	Corbsman	4
3	FelixPSY375	3
4	pintsizedrogue	2
4	Vizzoid	2
4	_Nuf	2
4	mimbo1211	2
4	Windo_licker	2
4	Bumpy419	2
4	selectrix	2
4	SSytex_X	2
4	KingMatthew506	2
13	Louiis123	1
13	SyK7	1
13	SoosAmongus	1
13	TrNrGhost	1
13	KarlKaek	1
13	SaucyDark	1
13	Furiuosbeast0404	1
13	Incinere	1
13	eitanzaki	1
13	Franco093	1
13	lorywithay	1
13	AlazelTheReal	1
13	nocturne78	1
13	rarrq	1
13	Blackberry1310	1
13	jacxhadow	1
13	Tiberonus	1
13	_Dean_123	1
13	Enigma0251	1
13	Kamflame10	1
13	Motsaro	1
13	gcaisawesome	1
13	noam464	1
13	ImDisconnected_	1
13	Werbe	1
13	The_Cruncy	1
13	Hahaa_0	1
13	Inbefour	1
13	Lord_Zacler	1
13	Tyrannosplart	1
13	The_slideV3	1
13	bluefragmentt	1
13	Blu3beast	1
13	censorsheep	1
13	Airem_Core	1
13	IAmTheWalrus910	1
13	Cocoamallows	1
13	Eraxa	1
13	djancak	1
13	xzvu	1
13	_Yonk_	1
13	_i_ERROR_i_	1
13	NATE_the_HALO	1
13	Sheldor097	1
13	Njensen7	1
13	Steelynan	1
13	VentiHilton	1
13	ConnorDanky_	1
13	Nicserso	1
13	The_SlideV5	1
13	xolstoi	1
