rank	username	minecraft:broken/minecraft:crossbow
1	sp00ky_ghost977	3
1	pixelviolin	3
1	TechnoNinja64	3
4	teslawolf38	2
4	Jackattack53	2
4	Fuad_R	2
7	Groovy_MoonBird	1
7	CLG_Kata	1
7	robertsnose	1
7	Hpdinosaur	1
7	RebelAndroid	1
7	eitanzaki	1
7	nattybears	1
7	joethahobo	1
7	Historical_Sand	1
7	rarrq	1
7	12Magner05	1
7	kekhon	1
7	Secret_Canary	1
7	Nach0Bear	1
7	Touched_Bread	1
7	noam464	1
7	Arceus1975	1
7	Hyp3rion_	1
7	Boipl	1
7	ooga47	1
7	Onennon	1
7	Roikdean	1
7	DarlaMeow	1
7	AstreaTSS	1
7	Eraxa	1
7	xzvu	1
7	_TCARREIRA_	1
7	Legendosh	1
7	Sral7	1
7	JayToe	1
7	Yamdalorian	1
