rank	username	minecraft:broken/minecraft:diamond_sword
1	cedric72	3
2	pintsizedrogue	2
2	Hermanni__	2
4	JohnnyFyes	1
4	dudcreeper	1
4	KarlKaek	1
4	bigstankyy	1
4	BlancoFlaco	1
4	WarHammer3	1
4	Prismyst	1
4	301851	1
4	Ssor69	1
4	InfernalMound	1
4	BobDeBouwer1337	1
4	Scathra	1
4	thescout7	1
4	Kubelz	1
4	benediktine1	1
4	mimbo1211	1
4	gabriels543	1
4	Di_infiri	1
4	burbankbuilder28	1
4	Rebytre	1
4	wezzzi	1
4	NYJ	1
4	Meatlaugh	1
4	DarlaMeow	1
4	1442	1
4	Cocoamallows	1
4	Eraxa	1
4	Soplight	1
4	Njensen7	1
4	Iamthejo	1
4	PlasticOtari	1
4	Kateesaur	1
4	00000000-0000-0000-0009-01ff0c3e5e4f	1
