rank	username	minecraft:broken/minecraft:leather_chestplate
1	Deathkob	5
1	El_Jalapeno	5
1	Smoke____	5
4	youhjjhhhjj	4
5	MyNameIsJobo	3
6	squigglybones	2
6	shdesolt	2
6	Winklepicker279	2
6	SuperPooch06	2
6	happy_mileo	2
6	ooga47	2
6	Fakiuss	2
6	QueenShuvi	2
14	pintsizedrogue	1
14	Thaumatarge	1
14	seanitoo	1
14	Mr_Byzantine	1
14	PhantomsGhost_	1
14	Ninzyyy	1
14	123louis456	1
14	RoskobiOne	1
14	LittleBug562	1
14	soundad	1
14	teslawolf38	1
14	KarlKaek	1
14	ImpavidArcher	1
14	TooManyDuck	1
14	maliraspberry	1
14	ivorico	1
14	Mahoose	1
14	MOSS000	1
14	H72l9w	1
14	FirsTimeGamingTV	1
14	Prodiginus	1
14	Shadoko_	1
14	Crowman1	1
14	firesgal3116	1
14	jacxhadow	1
14	bloodbiter	1
14	12Magner05	1
14	_HoneySlime_	1
14	Guillemet	1
14	IcyUzi	1
14	SteveCraftBlocks	1
14	_Dean_123	1
14	Laykon	1
14	Touched_Bread	1
14	M_Patata	1
14	swag_bro2004	1
14	legal_tax_evader	1
14	AJplaysMC_	1
14	Armattillo	1
14	thewindmillman	1
14	Zythose	1
14	calajimi	1
14	impossibleteapot	1
14	The_Fulgurator	1
14	Rebytre	1
14	Smussa	1
14	PigDab	1
14	Oragious	1
14	CarryLine	1
14	thgrocks	1
14	zToasty69z	1
14	Kim_Jong_eel	1
14	TheTrueClipse	1
14	Joestra	1
14	NomadicRobin_	1
14	audiocracked	1
14	duqboy	1
14	luseis	1
14	m9_meltdown_	1
14	jambvds	1
14	JESS_THE_RERE	1
14	MyNameIsDakar	1
14	_p1ta_	1
14	FreakGenius	1
14	Blu3beast	1
14	lolpoottoot	1
14	silverpopcorn	1
14	Toriankel	1
14	TheTommyGun63	1
14	MasterNueve	1
14	geekbird	1
14	Tina_x	1
14	Kura2218	1
14	PabloGonza02	1
14	BlankityMcBlank	1
14	SammiWolfGirl	1
14	Luigipunch989	1
14	jcool7	1
14	MilleGrug	1
14	KingMatthew506	1
14	EngagedGrub41	1
14	Iamthejo	1
14	FelixPSY375	1
14	FallenCorps	1
14	TechnoNinja64	1
14	PlasticOtari	1
14	diggydog67	1
14	00000000-0000-0000-0009-01f073f37a91	1
