rank	username	minecraft:broken/minecraft:iron_hoe
1	Di_infiri	41
2	AdmiralSmoke	36
3	FreakGenius	17
4	luseis	15
5	RyuNeko932000	12
6	Mr_Byzantine	11
6	MixerDixer	11
8	nut_e	10
8	djancak	10
10	StinkyDiplomat	9
11	PaperCanvas	8
12	shineh10	7
12	jaimshae	7
12	JungeSchnauzer	7
15	ApophisNova	6
15	Katsuragi0243218	6
15	MyNamaSheff	6
18	Froste131	5
18	Merv__	5
18	eitanzaki	5
18	excelsionprime	5
18	DanTheBuilderino	5
23	pintsizedrogue	4
23	picardred	4
23	Xalithia	4
23	Ze_BaronKrigler	4
27	q_wq	3
27	ZaneABrain	3
27	12Magner05	3
27	set67	3
27	CrookedKaptain	3
27	Awyrlas	3
27	eviltunix	3
27	hcb238	3
27	Akoot_	3
27	Lord_Jord	3
27	ReSynced	3
27	Dakar_	3
27	El_Jalapeno	3
27	MightyWertu	3
27	Barlycorn	3
27	Mistruth	3
27	Decaying_Lotus	3
27	_TCARREIRA_	3
27	anbbang	3
27	xolstoi	3
47	Jovaphobic	2
47	_stets	2
47	KarlKaek	2
47	Hyugo	2
47	Ryan_GEMS	2
47	Killercatty78	2
47	Tolhart	2
47	Minimize501	2
47	livingdaydreams	2
47	rarrq	2
47	dopplexd	2
47	Blackberry1310	2
47	TheSecondLord	2
47	TheThomas69	2
47	r123moore	2
47	pumpfonzo	2
47	TheDankPlatypus	2
47	ZeroAbyssTTV	2
47	burbankbuilder28	2
47	Azmodan_246	2
47	Voxin2K	2
47	The11thDoctor	2
47	TheShyPig	2
47	FreddyFart	2
47	wobn	2
47	Tiktola01	2
47	bruh072	2
47	Razzgriz	2
47	LeeMcGee30	2
47	HuangMeiHua	2
47	RadarHz	2
47	Legendosh	2
47	diggydog67	2
80	TheBiggestFeller	1
80	Louiis123	1
80	_Virify_	1
80	123louis456	1
80	RoskobiOne	1
80	Mowelan	1
80	PazinGaming	1
80	AuroraValkyrie	1
80	KingFaenor	1
80	DepressedCubic	1
80	EMC_	1
80	Frozil20	1
80	rachcl	1
80	TooManyDuck	1
80	Sabby65	1
80	RebelAndroid	1
80	Natty	1
80	Huwulling	1
80	joethahobo	1
80	301851	1
80	Historical_Sand	1
80	IgnoredBee	1
80	beeperbeeper5	1
80	ChampPog_	1
80	Prodiginus	1
80	Crowman1	1
80	gilesmcriles	1
80	jushykins	1
80	jacxhadow	1
80	kekhon	1
80	catandmoose	1
80	ProfessorBee	1
80	boog4loo	1
80	slkiey	1
80	4774	1
80	thescout7	1
80	fade_emerge78823	1
80	Matek_	1
80	DirtyBoar	1
80	prizm_	1
80	toj__	1
80	mariominejedi	1
80	CarltheCuck	1
80	Arceus1975	1
80	RefluxRatio	1
80	andy_rex	1
80	dendydoom	1
80	The_Fulgurator	1
80	Bumpy419	1
80	CaptainDeadBread	1
80	seramalen	1
80	superGamerBoy_	1
80	PigDab	1
80	cedric72	1
80	dartwaffle	1
80	NormanFetus	1
80	lizardfightclub	1
80	Elastiq	1
80	Fakiuss	1
80	AuroraSkies	1
80	Joestra	1
80	gustarlep	1
80	masskedman	1
80	DTwenty	1
80	XxCookiequeenxX	1
80	Lutres_	1
80	Fuad_R	1
80	Racengan	1
80	SingedBread	1
80	Warlord324	1
80	lordpipe	1
80	Druid95	1
80	OG_Songsee	1
80	Majonezzon	1
80	__tomato	1
80	brofrickcheaters	1
80	tsitrawhy	1
80	PortlyPete69	1
80	DennyKai	1
80	Hermanni__	1
80	xorompole	1
80	Quotary	1
80	Nicserso	1
80	MirielThePastor	1
80	calamariclam_I	1
80	Yahrto	1
80	WYFYoyo	1
80	coobert42	1
