rank	username	minecraft:broken/minecraft:diamond_helmet
1	KarlKaek	6
1	EcksD	6
3	Corbsman	5
3	Inbefour	5
5	mimbo1211	4
5	Windo_licker	4
5	burbankbuilder28	4
5	HellsSponge	4
5	Steelynan	4
5	FelixPSY375	4
11	bigstankyy	3
11	eitanzaki	3
11	Lez_	3
11	Historical_Sand	3
11	ProfessorBee	3
11	_Nuf	3
11	_Dean_123	3
11	noam464	3
11	fr_ser	3
11	Jonafrog99	3
11	Hyp3rion_	3
11	Cruncy_	3
11	Tyrannosplart	3
24	pintsizedrogue	2
24	PazinGaming	2
24	Ryan_GEMS	2
24	lorywithay	2
24	Swexti	2
24	Vizzoid	2
24	Comma__	2
24	NotMeanttoChange	2
24	Xalithia	2
24	Zaridey	2
24	ImDisconnected_	2
24	WET_WET_WET	2
24	Azmodan_246	2
24	Bumpy419	2
24	TheWildMateo	2
24	RedcatVII	2
24	IAmTheWalrus910	2
24	Cocoamallows	2
24	__tomato	2
24	SSytex_X	2
24	xzvu	2
24	VentiHilton	2
24	Ezekson	2
24	The_SlideV5	2
24	00000000-0000-0000-0009-01ff0c3e5e4f	2
49	H0UNDFRMH3LL	1
49	Louiis123	1
49	Groovy_MoonBird	1
49	seanitoo	1
49	Tobinator_007	1
49	SyK7	1
49	_Huge_Male_	1
49	PhantomsGhost_	1
49	dudcreeper	1
49	SoosAmongus	1
49	_stets	1
49	hollowww	1
49	shineh10	1
49	DinoDoctor_	1
49	77Holly7	1
49	Tolhart	1
49	_Razaria	1
49	Furiuosbeast0404	1
49	RebelAndroid	1
49	LagVibes	1
49	SyntheticSurgeon	1
49	Natty	1
49	AlazelTheReal	1
49	CoffeeNoir	1
49	PhantomBionic	1
49	TheMaster972	1
49	nocturne78	1
49	Euclidoris	1
49	picardred	1
49	Blackberry1310	1
49	Crowman1	1
49	_Z3RIX_	1
49	_Nat666	1
49	jushykins	1
49	Rich_Kat	1
49	12Magner05	1
49	kekhon	1
49	cubecutter124	1
49	TheThomas69	1
49	Enigma0251	1
49	Fullut	1
49	slkiey	1
49	Kkanot	1
49	Kamflame	1
49	4774	1
49	thescout7	1
49	Dali1465	1
49	surfinggiraffejp	1
49	ROY4LE	1
49	benediktine1	1
49	funnyblitz123	1
49	PeteO1995	1
49	ReverendSmith	1
49	SlayerCrypto	1
49	Di_infiri	1
49	Jackattack53	1
49	Norrhede	1
49	SuperPooch06	1
49	killmeiamtraitor	1
49	impossibleteapot	1
49	Silvo614	1
49	Boipl	1
49	domagawha	1
49	RebytreGT	1
49	Jekyll	1
49	The11thDoctor	1
49	Mattesco	1
49	Moofyman	1
49	epiksk8erduck	1
49	goldyx	1
49	jewbacaman	1
49	PaperCanvas	1
49	KeruNatsema	1
49	FishyBoy3811	1
49	Kim_Jong_eel	1
49	YahooScreen9000	1
49	Luminad3	1
49	TJawesome09	1
49	Elastiq	1
49	GooseWithin	1
49	parodypatient	1
49	stuy9	1
49	Hahaa_0	1
49	Lord_Zacler	1
49	Syropatathe	1
49	Deodorante	1
49	AspenLightVT	1
49	Katthaj	1
49	JESS_THE_RERE	1
49	DarlaMeow	1
49	BigCronkin	1
49	bluefragmentt	1
49	FlashMigma	1
49	Blu3beast	1
49	censorsheep	1
49	Cyntrical	1
49	MightyWertu	1
49	Blaiku	1
49	Groundler	1
49	SingedBread	1
49	Typadopoulos	1
49	DolphinLaugh	1
49	Toriankel	1
49	MovingFish7	1
49	Airem_Core	1
49	Factoroni	1
49	Druid95	1
49	aidanwest	1
49	ZoharGoldMine	1
49	Razzgriz	1
49	Kura2218	1
49	Burge_r	1
49	stavgod	1
49	Eraxa	1
49	kyouma777	1
49	_Tilariel_	1
49	EtherealEspresso	1
49	djancak	1
49	miramyu	1
49	LeEricc	1
49	_TCARREIRA_	1
49	Seindi	1
49	HAruSAme14	1
49	fffMike	1
49	jcool7	1
49	KingMatthew506	1
49	hermmm_	1
49	MissCeleste7	1
49	ConnorDanky_	1
49	RadarHz	1
49	scarletwarrior1	1
49	Weepingbiel	1
49	Enderxz3	1
49	PlasticOtari	1
49	Sral7	1
49	annebolyn	1
49	h2p_emrld	1
