rank	username	minecraft:broken/minecraft:chainmail_helmet
1	Deathkob	4
2	himak1	2
2	SuperPooch06	2
2	El_Jalapeno	2
5	Paleshield	1
5	RebelAndroid	1
5	CoffeeNoir	1
5	uhm__okay	1
5	Ozixar	1
5	xPixelRainx	1
5	ratglock	1
5	Cryptacity	1
5	m_be9	1
5	G1ldor	1
5	John6970	1
5	Mouse74	1
5	Winklepicker279	1
5	Arceus1975	1
5	Hyp3rion_	1
5	impossibleteapot	1
5	MustardDrinker	1
5	ooga47	1
5	aec9	1
5	ADEXTV	1
5	420BreadLizard	1
5	audiocracked	1
5	Bismarck_KMS	1
5	Quaintster	1
5	Freak_Genius	1
5	censorsheep	1
5	SingedBread	1
5	VilsSwag	1
5	LetsDoItLive	1
5	Ze_BaronKrigler	1
5	Omar_Alone	1
5	tsitrawhy	1
5	Nekomin0	1
5	Poppy235	1
5	anbbang	1
5	Ezekson	1
5	oxfordschool	1
5	Smoke____	1
