rank	username	minecraft:broken/minecraft:netherite_pickaxe
1	Iamthejo	20
2	Skylord_Luke	6
3	gcaisawesome	5
3	PigDab	5
3	Spacewardharpy7	5
3	mihimihimihi	5
3	Smoke____	5
8	12Magner05	4
8	Steelynan	4
10	Lez_	3
10	noam464	3
10	YungMaki	3
10	MilleGrug	3
14	_Virify_	2
14	EMC_	2
14	RebelAndroid	2
14	joethahobo	2
14	beeperbeeper5	2
14	Marbz_	2
14	GoofySilly	2
21	NatalieTW	1
21	Cowison	1
21	q_wq	1
21	tuckerdoodle	1
21	Mahoose	1
21	set67	1
21	paranoid_plant	1
21	Awyrlas	1
21	drunkeeez	1
21	Winklepicker279	1
21	Di_infiri	1
21	SuperPooch06	1
21	Rebytre	1
21	Mattesco	1
21	ogoa	1
21	NoChumpChange	1
21	lillips	1
21	HellsSponge	1
21	Blaiku	1
21	Kowcio_	1
21	RealGroot	1
21	non089	1
21	GlitchyPlate810	1
21	Hermanni__	1
21	EcksD	1
21	Quotary	1
21	Enderxz3	1
