rank	username	minecraft:broken/minecraft:carrot_on_a_stick
1	Akoot_	3
2	kekhon	2
2	Ezekson	2
2	Quotary	2
5	beeperbeeper5	1
5	SteveCraftBlocks	1
5	Chromary	1
5	NameGenerat0r	1
5	Kubeusz2010	1
