rank	username	minecraft:broken/minecraft:stone_axe
1	LordSpeed37	130
2	SteveCraftBlocks	67
3	AdmiralSmoke	64
4	rotten_mango	58
5	luseis	27
6	Blackberry1310	23
7	Avocadogerms	22
8	Mahoose	21
8	Di_infiri	21
8	PlasticOtari	21
11	OfficerAnvil	20
12	El_Jalapeno	19
13	dopplexd	18
13	Kryktal	18
13	avalan64	18
16	FreakGenius	17
17	Bobby808	16
17	MineMaster0012	16
17	nonarso	16
20	himak1	15
20	DkansK	15
22	SvenskaSara	14
22	KlausVonStiglitz	14
24	Groovy_MoonBird	13
24	Ssor69	13
24	JustAWill_	13
24	brycepants	13
24	natajimi	13
29	2Stout	12
29	Touched_Bread	12
31	corvidpartyfor6	11
31	ItzYaBoiPicard	11
31	GeromeMerris	11
34	ehunt54	10
34	ReflexCode	10
34	NebulousBadger	10
34	Kferno	10
34	jnp_gaming	10
39	M_Patata	9
39	Zythose	9
39	MasterNueve	9
39	Nekomin0	9
39	CalebDHawk	9
39	EngagedGrub41	9
39	RadarHz	9
46	pintsizedrogue	8
46	Thaumatarge	8
46	Froste131	8
46	cheerytomato	8
46	kekhon	8
46	ConcretePirate	8
46	Kamflame10	8
46	Purplehere	8
46	AJplaysMC_	8
46	lcvezra	8
46	BreadBacon	8
46	mountaingirl311	8
46	CrazyPotater	8
59	Hormones	7
59	Laykon	7
59	ooga47	7
59	CarryLine	7
59	SkyHighSkier	7
59	Racengan	7
59	Warlord324	7
59	Optiprimus	7
59	Deguns123	7
59	ConnorDanky_	7
59	TechnoNinja64	7
70	Ozixar	6
70	NieToksikpl	6
70	bloodbiter	6
70	Robby_Cream	6
70	intropass	6
70	xxPipperDipperxx	6
70	Sharkbyte0	6
70	wrinkledpiglet	6
70	Katsuragi0243218	6
70	aldplaysmc	6
80	Paint	5
80	Myrosia	5
80	ExtraDumb	5
80	SaucyDark	5
80	dongli	5
80	SyntheticSurgeon	5
80	heckface	5
80	ashetrays	5
80	dendydoom	5
80	CaptainDeadBread	5
80	Kynigito	5
80	Shavrin	5
80	TheShyPig	5
80	privatemeekly	5
80	ChocolatePepsi	5
80	_k2x	5
80	wwwwinnebagoooo	5
80	tompup	5
80	momis24	5
80	Powowowow	5
100	Krimys	4
100	duelcard	4
100	SKYPEX_	4
100	Skyler_Diablo	4
100	squigglybones	4
100	DiscardedCE	4
100	Whiterooster001	4
100	shdesolt	4
100	Cortexia	4
100	Gingayy	4
100	olliebollie48	4
100	HoltGrim	4
100	Minc_	4
100	BlueZabu	4
100	faulder	4
100	NarwhalTaco	4
100	ADEXTV	4
100	Pootis11	4
100	Fakiuss	4
100	AlphaWolfPlaysMC	4
100	majlin16	4
100	ProfessorDiaper	4
100	Matorz	4
100	Soul_Atreus	4
100	SammiWolfGirl	4
100	Kymarmalade	4
100	Drawgirl	4
100	blackmage426	4
128	rats_life	3
128	Mr_Byzantine	3
128	2xil2	3
128	Harotio	3
128	PizzaJake	3
128	BigBootyHudge	3
128	Wooptey	3
128	youhjjhhhjj	3
128	IWorkAtIkea	3
128	rarrq	3
128	ratglock	3
128	tortillatitan	3
128	ArdaAslan02	3
128	redikul	3
128	DefiantDragon	3
128	SHAOBADMAN	3
128	FennYuzuna	3
128	BigMoneyH	3
128	Winklepicker279	3
128	okCrypto	3
128	hanaryheatwave	3
128	Snowflowe	3
128	Studyhallsaver	3
128	Fast_Turtle	3
128	nut_e	3
128	Felenov	3
128	DeeDeeThonk	3
128	iElijah	3
128	epiksk8erduck	3
128	Ghemmah	3
