rank	username	minecraft:broken/minecraft:wooden_sword
1	Prodiginus	40
2	Megarboh	13
3	Windo_licker	9
4	aldplaysmc	7
5	GoofySilly	6
6	Afinnity	4
6	Paigefly	4
8	Azorathum	3
8	xFaiithyX	3
8	E775	3
8	UCP_TheKingK	3
12	Alphanzt99	2
12	SellyZ	2
12	Zenlou	2
12	r123moore	2
12	Yuvl	2
12	Peeing	2
12	Crasswolf	2
12	msJabberwock	2
12	IamCL4SSY	2
12	sufjanlover	2
12	Deathkob	2
12	lolpoottoot	2
12	Toriankel	2
12	WingedTortoise	2
12	Naturalrogue	2
12	Bawbman	2
12	PlzNoBM	2
12	xolstoi	2
30	gary_	1
30	SyK7	1
30	PhantomsGhost_	1
30	Ninzyyy	1
30	Mocha_Mug	1
30	Frozil20	1
30	CryoInferno_	1
30	hm947	1
30	wickedword	1
30	imthatpikachu	1
30	Sna_Ke	1
30	T045RTY	1
30	Sadeena	1
30	Simon_Lowell	1
30	Z22n	1
30	Myrlewen	1
30	mennorovers	1
30	PBandChocolate	1
30	Stright_	1
30	Sleepy_Time_	1
30	beeperbeeper5	1
30	FirsTimeGamingTV	1
30	Khelvoryk	1
30	xPixelRainx	1
30	Cryptacity	1
30	StanceTB	1
30	corvidpartyfor6	1
30	Scattman_	1
30	Fullut	1
30	Groyperbuscus	1
30	Cambo5000	1
30	Haerandir	1
30	Robby_Cream	1
30	himak1	1
30	SpicyMeatballs	1
30	Matek_	1
30	swag_bro2004	1
30	mariominejedi	1
30	valiSW	1
30	Di_infiri	1
30	Useless_Relic	1
30	Snowflowe	1
30	NarwhalTaco	1
30	Parcc	1
30	Jeteight	1
30	SvenskaSara	1
30	WhosJPG	1
30	FastLane1	1
30	F_Uhre	1
30	ptweezy	1
30	PhoenixAlpha	1
30	groofles	1
30	St4nLe7	1
30	TheTrueClipse	1
30	Dabatha	1
30	420BreadLizard	1
30	yulgur1	1
30	NomadicRobin_	1
30	NoobSlayerPro	1
30	kiluaemc	1
30	luseis	1
30	master9067	1
30	SolicitedPuma101	1
30	Mweems	1
30	JESS_THE_RERE	1
30	_Karmaa	1
30	claivin	1
30	TiborSterle	1
30	El_Jalapeno	1
30	Blu3beast	1
30	ItsJWolff	1
30	__hinterland__	1
30	Mistruth	1
30	Chaotic1s	1
30	KayleeGrace58	1
30	Poppy235	1
30	PortlyPete69	1
30	NATE_the_HALO	1
30	Glumb0	1
30	zmpeg	1
