rank	username	minecraft:broken/minecraft:leather_leggings
1	El_Jalapeno	12
2	himak1	6
2	Akoot_	6
2	Deathkob	6
5	youhjjhhhjj	5
6	_Boipl_	4
6	ooga47	4
8	soundad	3
8	bloodbiter	3
8	MyNameIsJobo	3
8	SuperPooch06	3
8	SammiWolfGirl	3
8	CalebDHawk	3
8	Iamthejo	3
8	TechnoNinja64	3
8	PlasticOtari	3
8	xolstoi	3
18	Mr_Byzantine	2
18	Mahoose	2
18	Blackberry1310	2
18	Xalithia	2
18	Mattesco	2
18	TheTrueClipse	2
18	StinkyDiplomat	2
18	FreakGenius	2
18	jcool7	2
18	00000000-0000-0000-0009-01f073f37a91	2
28	Riick_Astley	1
28	H0UNDFRMH3LL	1
28	Thaumatarge	1
28	Badenbeele	1
28	teslawolf38	1
28	Gemstuff	1
28	ImpavidArcher	1
28	BlancoFlaco	1
28	TooManyDuck	1
28	RatatJuice	1
28	the_fireminer	1
28	maliraspberry	1
28	WarHammer3	1
28	ShedJr_	1
28	MOSS000	1
28	H72l9w	1
28	MrKrabOnCoke	1
28	Historical_Sand	1
28	Alphanzt99	1
28	QuiCreans	1
28	tramizu	1
28	rarrq	1
28	dopplexd	1
28	jushykins	1
28	m_be9	1
28	ProfessorBee	1
28	TheDiamondCG	1
28	excelsionprime	1
28	sleeth	1
28	SellyZ	1
28	2Stout	1
28	platinumzero	1
28	eposlul	1
28	John6970	1
28	mimbo1211	1
28	Kakolbus	1
28	Winklepicker279	1
28	TakeThis2UrGrave	1
28	Ristebraaten	1
28	legal_tax_evader	1
28	nitram49b	1
28	Norrhede	1
28	AJplaysMC_	1
28	whoaluv	1
28	Rumpletaezer	1
28	Arceus1975	1
28	happy_mileo	1
28	The_Fulgurator	1
28	ApophisNova	1
28	selectrix	1
28	Onennon	1
28	Moofyman	1
28	Capss	1
28	lizardfightclub	1
28	Fakiuss	1
28	NomadicRobin_	1
28	master9067	1
28	_Bguette_	1
28	rotten_mango	1
28	m9_meltdown_	1
28	dankxing	1
28	n0qtrnL	1
28	ebanana	1
28	GoofyBread	1
28	Dakar_	1
28	SlinkyPinky	1
28	Quaintster	1
28	ReflexCode	1
28	MangoSalad316	1
28	Leeeegend	1
28	Blu3beast	1
28	halfbakedlasagna	1
28	THEKINGLyric10	1
28	Warlord324	1
28	_Meow_Mix	1
28	Mistruth	1
28	WyngGoy	1
28	sp00ky_ghost977	1
28	Kukkelikuk	1
28	plato2066	1
28	SvenskaHugo	1
28	Kijiki	1
28	BlankityMcBlank	1
28	__tomato	1
28	KujikawaRisechi	1
28	xzvu	1
28	PncakeUniverse	1
28	stellarjay	1
28	_TCARREIRA_	1
28	_i_ERROR_i_	1
28	ConnorDanky_	1
28	MyNamaSheff	1
28	Smaldo	1
28	momis24	1
28	skrongus	1
28	AdmiralSmoke	1
